dataset,seed,variant,ari,nmi,acc,f1_macro,q_cell,q_gene,q_total,graph_enabled,negative_control,pca_ari,pca_nmi,pca_acc,delta_ari_vs_pca,regret_vs_pca,negative_transfer,win_vs_pca,tie_vs_pca,loss_vs_pca,rank_ari_desc,oracle_ari,oracle_source_variant,oracle_gain_vs_pca,oracle_gap
Pollen,42,pca_kmeans,0.03339391415030334,0.11612458329724176,0.23255813953488372,0.10369728430532277,0.6197176866744775,0.9291977276900223,0.7744577071822498,False,,0.03339391415030334,0.11612458329724176,0.23255813953488372,0.0,0.0,False,False,True,False,10.0,0.8700415764190499,rdg_always_on,0.8366476622687465,0.8366476622687465
Pollen,42,pca_spectral_kmeans,0.37214848666506173,0.6136775820396204,0.5681063122923588,0.5117115762033383,0.6197176866744775,0.9291977276900223,0.7744577071822498,False,,0.03339391415030334,0.11612458329724176,0.23255813953488372,0.3387545725147584,0.0,False,True,False,False,6.0,0.8700415764190499,rdg_always_on,0.8366476622687465,0.49789308975398816
Pollen,42,rdg_cell_only,0.4272496239122017,0.6513488645801891,0.5880398671096345,0.5451069318039627,0.6197176866744775,0.9291977276900223,0.7744577071822498,True,,0.03339391415030334,0.11612458329724176,0.23255813953488372,0.3938557097618984,0.0,False,True,False,False,5.0,0.8700415764190499,rdg_always_on,0.8366476622687465,0.44279195250684816
Pollen,42,rdg_gene_only,0.786472396027737,0.8775075946939477,0.7940199335548173,0.6824699116223297,0.6197176866744775,0.9291977276900223,0.7744577071822498,True,,0.03339391415030334,0.11612458329724176,0.23255813953488372,0.7530784818774336,0.0,False,True,False,False,4.0,0.8700415764190499,rdg_always_on,0.8366476622687465,0.08356918039131289
Pollen,42,rdg_concat_kmeans,0.313916420128235,0.4968515969551604,0.53156146179402,0.31355952619239774,0.6197176866744775,0.9291977276900223,0.7744577071822498,False,,0.03339391415030334,0.11612458329724176,0.23255813953488372,0.28052250597793166,0.0,False,True,False,False,7.0,0.8700415764190499,rdg_always_on,0.8366476622687465,0.5561251562908149
Pollen,42,rdg_always_on,0.8700415764190499,0.8955787312019604,0.8571428571428571,0.7028940496608415,0.6197176866744775,0.9291977276900223,0.7744577071822498,True,,0.03339391415030334,0.11612458329724176,0.23255813953488372,0.8366476622687465,0.0,False,True,False,False,1.5,0.8700415764190499,rdg_always_on,0.8366476622687465,0.0
Pollen,42,safe_rdg_heuristic,0.869445960111,0.8916353961596908,0.8538205980066446,0.700202938736613,0.6197176866744775,0.9291977276900223,0.7744577071822498,True,,0.03339391415030334,0.11612458329724176,0.23255813953488372,0.8360520459606966,0.0,False,True,False,False,3.0,0.8700415764190499,rdg_always_on,0.8366476622687465,0.0005956163080499399
Pollen,42,neg_random_cell_graph,0.2372838860587505,0.46706911569256127,0.43853820598006643,0.36191664420292297,0.6197176866744775,0.9291977276900223,0.7744577071822498,True,random_cell_graph,0.03339391415030334,0.11612458329724176,0.23255813953488372,0.20388997190844715,0.0,False,True,False,False,9.0,0.8700415764190499,rdg_always_on,0.8366476622687465,0.6327576903602994
Pollen,42,neg_degree_shuffle_graph,0.3081046932270756,0.5072114269582134,0.4950166112956811,0.4258892996317077,0.6197176866744775,0.9291977276900223,0.7744577071822498,True,degree_preserving_shuffled_cell_graph,0.03339391415030334,0.11612458329724176,0.23255813953488372,0.27471077907677227,0.0,False,True,False,False,8.0,0.8700415764190499,rdg_always_on,0.8366476622687465,0.5619368831919742
Pollen,42,neg_shuffled_gene_cell_graph,0.01975222267918206,0.12052874174849697,0.2026578073089701,0.1887671113393021,0.6197176866744775,0.9291977276900223,0.7744577071822498,True,shuffled_gene_module_cell_graph,0.03339391415030334,0.11612458329724176,0.23255813953488372,-0.013641691471121282,0.013641691471121282,True,False,False,True,12.0,0.8700415764190499,rdg_always_on,0.8366476622687465,0.8502893537398678
