run,arm,seed,program_mode,split_mode,program_weight,type_dim,ari,nmi,acc,effective_dim_pr,cluster_aligned_eff_dim,std_min,dims_std_gt_1p0,program_r2,final_base_loss,final_program_loss,runtime_seconds
a0_baseline_seed42,a0_baseline,42,none,none,0.0,128,0.7790618967498902,0.6741203462523425,0.7852615604356364,113.85547238497867,1.6697475929787966,1.0365082025527954,128,nan,0.5094777190685272,0.0,284.1322524547577
a0_baseline_seed43,a0_baseline,43,none,none,0.0,128,0.7296442054543585,0.662205483252667,0.7670282092483485,110.96520745220646,1.6436318192801669,1.0020447969436646,128,nan,0.5079400043828147,0.0,266.8947169780731
a0_baseline_seed44,a0_baseline,44,none,none,0.0,128,0.7246690322394729,0.6643072851929045,0.7675191930012498,89.12404414407081,1.6292397808167682,1.0283942222595215,128,nan,0.5035164288112095,0.0,293.7151184082031
a1_prog_w02_seed42,a1_prog_w02,42,nmf,none,0.02,128,0.3380118875608007,0.5970063729743448,0.47647741474736655,91.80517658629324,1.769295302315398,1.006285548210144,128,0.6572693367804487,0.5371252822875977,0.42739582419395444,306.4100601673126
a1_prog_w02_seed43,a1_prog_w02,43,nmf,none,0.02,128,0.324928270696609,0.5960077824967575,0.4450990894483128,79.57006114884256,1.8025614741624374,1.0003832578659058,128,0.6545683342917051,0.5687523351396833,0.43431647181510924,307.2775263786316
a1_prog_w02_seed44,a1_prog_w02,44,nmf,none,0.02,128,0.34114743454326046,0.5943904740545273,0.4875022317443314,95.39525696199712,1.7905650763262018,1.0295370817184448,128,0.642097910651054,0.535104353087289,0.4395194523675101,308.38363909721375
a1_prog_w10_seed42,a1_prog_w10,42,nmf,none,0.1,128,0.45828537547027676,0.6482350841159815,0.5468443135154437,90.54629864232146,1.8878280000587233,1.0055835247039795,128,0.8230381875898092,0.5427702488218035,0.3403264778000968,274.84747672080994
a1_prog_w10_seed43,a1_prog_w10,43,nmf,none,0.1,128,0.3560926595599097,0.6067401865756863,0.5297714693804678,82.85896039890078,1.85306798676531,1.01091468334198,128,0.8228963470342723,0.5375513921465193,0.3400208609444754,259.3240728378296
a1_prog_w10_seed44,a1_prog_w10,44,nmf,none,0.1,128,0.3227842251773983,0.5891332963183509,0.43449830387430816,87.74687944514758,1.8739072440722668,1.0186920166015625,128,0.8169176231639759,0.5662460620062691,0.34895985007286073,297.6812479496002
a1_shuffle_w10_seed42,a1_shuffle_w10,42,shuffled,none,0.1,128,0.6316775928511009,0.6227897140321859,0.7245134797357615,121.89915689691807,1.6298635066968317,1.032698154449463,128,-0.0003665815378031123,0.5159301328659057,1.0003334951400757,250.6961109638214
a1_shuffle_w10_seed43,a1_shuffle_w10,43,shuffled,none,0.1,128,0.5363338698458845,0.6293986566508786,0.6645018746652384,101.41315020184277,1.7681817035090035,1.025907278060913,128,-2.2666153365547004e-05,0.5197517056124551,1.0001912334987095,263.50067114830017
a1_shuffle_w10_seed44,a1_shuffle_w10,44,shuffled,none,0.1,128,0.6949345627503521,0.6512523129154714,0.7503570790930191,85.47045987921626,1.6313305111860823,1.0314158201217651,128,-0.00018952391314042139,0.5131605451447623,1.0002453460012164,284.9627809524536
a2_extra_w10_seed42,a2_extra_w10,42,nmf,extra,0.1,128,0.3049244580615495,0.5536672978459115,0.4824584895554365,110.38773430035597,1.5348858058938193,1.0132548809051514,128,0.8602397778472679,0.5408972341673715,0.3215832100595747,282.0804419517517
a2_extra_w10_seed43,a2_extra_w10,43,nmf,extra,0.1,128,0.3118896161579691,0.536518167480996,0.49578200321371185,111.2246249755599,1.508259486844144,1.0046029090881348,128,0.8631535961957115,0.5453665620940072,0.32188077398708886,272.25262117385864
a2_extra_w10_seed44,a2_extra_w10,44,nmf,extra,0.1,128,0.4071941841211945,0.5592594791901396,0.5953624352794143,113.78445877190286,1.529720658988301,1.0062415599822998,128,0.8623829816039723,0.5321745458671024,0.3289734872749874,276.0962951183319
a2_fixed_w10_seed42,a2_fixed_w10,42,nmf,fixed,0.1,96,0.326041364779562,0.532661327887342,0.5297045170505267,69.4406838917077,1.5598856043093414,1.0397740602493286,96,0.859176735161754,0.5578678624970572,0.322333550793784,226.96476340293884
a2_fixed_w10_seed43,a2_fixed_w10,43,nmf,fixed,0.1,96,0.25358998152090056,0.4907898243562008,0.4546955900732012,83.17798513577836,1.3669162769891512,1.0667439699172974,96,0.8604352805251296,0.562639262676239,0.32290330852781024,267.9163134098053
a2_fixed_w10_seed44,a2_fixed_w10,44,nmf,fixed,0.1,96,0.5773009049436812,0.6111596874332896,0.7017050526691663,84.27899930477867,1.56518530295815,1.0503073930740356,96,0.8594359125734928,0.524131601537977,0.32953934584345135,256.95816826820374
