dataset,method,variant,seed,elapsed_seconds,run_dir,status
Melanoma_5K,scMAE_plus_soft_reliable_neighbormix,007_soft_reliable_neighbormix,2024,42.7,/tmp/scmae_plus_screen_80_20260630/screen/Melanoma_5K/seed2024/007_soft_reliable_neighbormix,success
Melanoma_5K,scMAE_plus_soft_reliable_neighbormix,007_soft_reliable_neighbormix_a088,2024,42.0,/tmp/scmae_plus_screen_80_20260630/screen/Melanoma_5K/seed2024/007_soft_reliable_neighbormix_a088,success
Melanoma_5K,scMAE_plus_pseudo_agree_neighbormix,008_pseudo_agree_neighbormix,2024,44.1,/tmp/scmae_plus_screen_80_20260630/screen/Melanoma_5K/seed2024/008_pseudo_agree_neighbormix,success
Melanoma_5K,scMAE_plus_pseudo_agree_neighbormix,008_pseudo_agree_neighbormix_confq25,2024,45.4,/tmp/scmae_plus_screen_80_20260630/screen/Melanoma_5K/seed2024/008_pseudo_agree_neighbormix_confq25,success
Melanoma_5K,scMAE_plus_neighbormix,004_neighbormix_frozen_graph,2024,39.7,/tmp/scmae_plus_screen_80_20260630/screen/Melanoma_5K/seed2024/004_neighbormix_frozen_graph,success
Melanoma_5K,scMAE_plus_ema_graph_neighbormix,009_ema_graph_neighbormix,2024,44.3,/tmp/scmae_plus_screen_80_20260630/screen/Melanoma_5K/seed2024/009_ema_graph_neighbormix,success
Melanoma_5K,scMAE_plus_ema_graph_neighbormix,009_ema_graph_neighbormix_d02,2024,45.0,/tmp/scmae_plus_screen_80_20260630/screen/Melanoma_5K/seed2024/009_ema_graph_neighbormix_d02,success
Melanoma_5K,scMAE_plus_adaptive_mask,001_adaptive_mask,42,35.2,/tmp/scmae_plus_screen_80_20260630/screen/Melanoma_5K/seed42/001_adaptive_mask,success
Melanoma_5K,scMAE_plus_prototype_dec,002_prototype_dec,42,37.0,/tmp/scmae_plus_screen_80_20260630/screen/Melanoma_5K/seed42/002_prototype_dec,success
Melanoma_5K,scMAE_plus_swav_assignment,003_swav_assignment,42,52.5,/tmp/scmae_plus_screen_80_20260630/screen/Melanoma_5K/seed42/003_swav_assignment,success
Melanoma_5K,scMAE_plus_neighbormix,004_neighbormix,42,43.1,/tmp/scmae_plus_screen_80_20260630/screen/Melanoma_5K/seed42/004_neighbormix,success
Melanoma_5K,scMAE_plus_neighbormix_prototype,005_neighbormix_prototype,42,50.8,/tmp/scmae_plus_screen_80_20260630/screen/Melanoma_5K/seed42/005_neighbormix_prototype,success
Melanoma_5K,scMAE_plus_neighbormix,004_neighbormix_nm_a095_w01,42,48.8,/tmp/scmae_plus_screen_80_20260630/screen/Melanoma_5K/seed42/004_neighbormix_nm_a095_w01,success
Melanoma_5K,scMAE_plus_neighbormix,004_neighbormix_nm_multiavg,42,54.5,/tmp/scmae_plus_screen_80_20260630/screen/Melanoma_5K/seed42/004_neighbormix_nm_multiavg,success
Melanoma_5K,scMAE_plus_neighbormix,004_neighbormix_nm_score078,42,44.7,/tmp/scmae_plus_screen_80_20260630/screen/Melanoma_5K/seed42/004_neighbormix_nm_score078,success
Melanoma_5K,scMAE_plus_neighbormix,004_neighbormix_nm_score082,42,48.8,/tmp/scmae_plus_screen_80_20260630/screen/Melanoma_5K/seed42/004_neighbormix_nm_score082,success
Melanoma_5K,scMAE_plus_neighbormix,004_neighbormix_nm_adaptive_mask,42,44.7,/tmp/scmae_plus_screen_80_20260630/screen/Melanoma_5K/seed42/004_neighbormix_nm_adaptive_mask,success
Melanoma_5K,scMAE_plus_neighbormix,004_neighbormix_nm_swav,42,60.9,/tmp/scmae_plus_screen_80_20260630/screen/Melanoma_5K/seed42/004_neighbormix_nm_swav,success
Melanoma_5K,scMAE_plus_adaptive_neighbormix_prototype,006_adaptive_mask_neighbormix_prototype,42,45.2,/tmp/scmae_plus_screen_80_20260630/screen/Melanoma_5K/seed42/006_adaptive_mask_neighbormix_prototype,success
Melanoma_5K,scMAE_plus_soft_reliable_neighbormix,007_soft_reliable_neighbormix,42,44.2,/tmp/scmae_plus_screen_80_20260630/screen/Melanoma_5K/seed42/007_soft_reliable_neighbormix,success
Melanoma_5K,scMAE_plus_soft_reliable_neighbormix,007_soft_reliable_neighbormix_a088,42,44.6,/tmp/scmae_plus_screen_80_20260630/screen/Melanoma_5K/seed42/007_soft_reliable_neighbormix_a088,success
Melanoma_5K,scMAE_plus_pseudo_agree_neighbormix,008_pseudo_agree_neighbormix,42,47.4,/tmp/scmae_plus_screen_80_20260630/screen/Melanoma_5K/seed42/008_pseudo_agree_neighbormix,success
Melanoma_5K,scMAE_plus_pseudo_agree_neighbormix,008_pseudo_agree_neighbormix_confq25,42,45.4,/tmp/scmae_plus_screen_80_20260630/screen/Melanoma_5K/seed42/008_pseudo_agree_neighbormix_confq25,success
Melanoma_5K,scMAE_plus_neighbormix,004_neighbormix_frozen_graph,42,41.4,/tmp/scmae_plus_screen_80_20260630/screen/Melanoma_5K/seed42/004_neighbormix_frozen_graph,success
Melanoma_5K,scMAE_plus_ema_graph_neighbormix,009_ema_graph_neighbormix,42,45.9,/tmp/scmae_plus_screen_80_20260630/screen/Melanoma_5K/seed42/009_ema_graph_neighbormix,success
Melanoma_5K,scMAE_plus_ema_graph_neighbormix,009_ema_graph_neighbormix_d02,42,45.3,/tmp/scmae_plus_screen_80_20260630/screen/Melanoma_5K/seed42/009_ema_graph_neighbormix_d02,success
