dataset,method,seed,variant,backbone,use_adaptive_mask,use_prototype,use_swav,use_neighbormix,mask_mode,acc,nmi,ari,f1_macro,fmi,v_measure,homogeneity,completeness,n_pred_clusters,silhouette,protocol,cluster_method,uses_known_k,run_dir,elapsed_seconds,diag_effective_mask_rate,diag_embedding_variance_mean,diag_embedding_variance_min,diag_embedding_mean_cosine,diag_cluster_mass_max,diag_cluster_mass_min,diag_prototype_confidence_mean,diag_neighbor_reliability_mean,diag_neighbor_reliability_min,diag_neighbor_reliability_all_edge_mean,diag_neighbor_mutual_edge_fraction,diag_neighbor_reliable_edge_fraction,diag_neighbor_reliable_count_mean,diag_neighbor_reliable_count_min,diag_neighbor_score_mean,diag_neighbor_score_p25,diag_neighbor_score_p50,diag_neighbor_score_p75,diag_neighbor_similarity_mean,diag_neighbor_shared_score_mean,diag_neighbor_pseudo_confidence_mean,diag_neighbor_pseudo_same_cluster_edge_fraction,diag_neighbor_pseudo_same_cluster_reliable_fraction,diag_neighbor_consensus_hit_mean,diag_neighbor_adaptive_score_mean,diag_neighbor_adaptive_hit_mean,diag_neighbor_adaptive_core_edge_fraction,diag_neighbor_adaptive_strict_edge_fraction,diag_neighbor_boundary_confidence_mean,diag_neighbor_boundary_cell_fraction,diag_neighbor_boundary_rare_cell_fraction,diag_neighbor_boundary_protected_edge_fraction,diag_neighbor_boundary_kept_protected_edge_fraction,diag_neighbor_boundary_same_cluster_reliable_fraction
Melanoma_5K,scMAE_plus_neighbormix,3407,004_neighbormix_nm_swav,original_scmae,False,False,True,True,random,0.7363173055617106,0.7340646124670522,0.664116428886928,0.6557041729895288,0.7308126532189982,0.7340646124670522,0.7616799141392671,0.7083816800051673,9,,fixed,kmeans_known_k,True,/tmp/scmae_plus_screen_80_20260630/screen/Melanoma_5K/seed3407/004_neighbormix_nm_swav,69.6,0.040490401429789005,0.47945392131805403,0.17236693203449202,0.6561700701713561,0.26567694544792103,0.016840239986777,0.11112106591463,0.844117701053619,0.5486602783203121,0.33420553803443903,0.39592288943053405,0.39592288943053405,5.938843250274658,0.0,0.844117701053619,0.7962513566017151,0.8377943038940431,0.8931754827499391,0.9751877188682551,0.509340107440948,,,,,,,,,,,,,,
Melanoma_5K,scMAE_plus_adaptive_neighbormix_prototype,3407,006_adaptive_mask_neighbormix_prototype,original_scmae,True,True,False,True,variance_adaptive,0.6955461998670508,0.7131583480572785,0.6360280745106931,0.5203578860794253,0.7077490158063557,0.7131583480572786,0.7507638789773474,0.6791404143677117,9,,fixed,kmeans_known_k,True,/tmp/scmae_plus_screen_80_20260630/screen/Melanoma_5K/seed3407/006_adaptive_mask_neighbormix_prototype,44.4,0.041808482153075005,0.42711448669433505,0.166557848453521,0.6613799333572381,0.267671167850494,0.03168623894453,0.11670441180467601,0.843953967094421,0.556468904018402,0.336883425712585,0.399172760174311,0.399172760174311,5.98759126663208,0.0,0.843953967094421,0.7961536645889281,0.8378549218177791,0.892666220664978,0.976464033126831,0.507305145263671,,,,,,,,,,,,,,
Melanoma_5K,scMAE_plus_soft_reliable_neighbormix,3407,007_soft_reliable_neighbormix,original_scmae,False,False,False,True,random,0.7380899623310436,0.7363759729543614,0.6658396562535317,0.6545675808920095,0.7321552930429713,0.7363759729543614,0.765829432844407,0.7091041425383556,9,,fixed,kmeans_known_k,True,/tmp/scmae_plus_screen_80_20260630/screen/Melanoma_5K/seed3407/007_soft_reliable_neighbormix,42.5,0.040586160655532,0.358377367258071,0.13675506412982902,0.6531819701194761,0.26501217484474104,0.017061822116374,,0.8417199850082391,0.5852724313735961,0.35091251134872403,0.41689932786764106,0.41689932786764106,6.253489971160889,0.0,0.8417199850082391,0.7955887317657471,0.836887717247009,0.887907683849334,0.977093994617462,0.49912363290786704,,,,,,,,,,,,,,
Melanoma_5K,scMAE_plus_soft_reliable_neighbormix,3407,007_soft_reliable_neighbormix_a088,original_scmae,False,False,False,True,random,0.7383115444272103,0.7374372285900266,0.6654875299705517,0.6572492690977723,0.7318836978368535,0.7374372285900266,0.7664556105729857,0.7105359906011868,9,,fixed,kmeans_known_k,True,/tmp/scmae_plus_screen_80_20260630/screen/Melanoma_5K/seed3407/007_soft_reliable_neighbormix_a088,42.6,0.040586160655532,0.341784238815307,0.12896400690078702,0.6565387248992921,0.26235321164131103,0.016397075727581003,,0.8441973924636841,0.580737233161926,0.35162109136581404,0.41651525223428604,0.41651525223428604,6.247728824615478,0.0,0.8441973924636841,0.7970113158226011,0.8376886844635011,0.890962243080139,0.979003190994262,0.505154430866241,,,,,,,,,,,,,,
Melanoma_5K,scMAE_plus_pseudo_agree_neighbormix,3407,008_pseudo_agree_neighbormix,original_scmae,False,False,False,True,random,0.7057389762907157,0.7089726720760882,0.6336736633355889,0.5700746685826751,0.7059888564954514,0.708972672076088,0.740492178730523,0.6800269070334621,9,,fixed,kmeans_known_k,True,/tmp/scmae_plus_screen_80_20260630/screen/Melanoma_5K/seed3407/008_pseudo_agree_neighbormix,44.0,0.040586160655532,0.425717294216156,0.170120894908905,0.667072474956512,0.261910051107406,0.016840239986777,,0.8445992469787591,0.59016990661621,0.345923125743865,0.410133687864687,0.400679518428244,6.01019287109375,0.0,0.8434398174285881,0.7965456247329711,0.837539970874786,0.8909366130828851,0.9782600402832031,0.5034961104393001,0.42969465255737305,0.9769485664889781,1.0,,,,,,,,,,,
Melanoma_5K,scMAE_plus_pseudo_agree_neighbormix,3407,008_pseudo_agree_neighbormix_confq25,original_scmae,False,False,False,True,random,0.7376467981387104,0.7369805179518033,0.6648179921730768,0.6527810920800508,0.7313150832215981,0.7369805179518033,0.7667551840908043,0.7094318342877419,9,,fixed,kmeans_known_k,True,/tmp/scmae_plus_screen_80_20260630/screen/Melanoma_5K/seed3407/008_pseudo_agree_neighbormix_confq25,43.2,0.040586160655532,0.40407106280326804,0.15598250925540902,0.664963662624359,0.262574791908264,0.017283404245972002,,0.8340010643005371,0.6843654513359071,0.349281758069992,0.413767634241819,0.295295073491395,4.429426193237305,0.0,0.8441495299339291,0.7967725992202751,0.837689518928527,0.8917458653450011,0.979300022125244,0.5046483874320981,0.439149022102355,0.9749375223134591,1.0,,,,,,,,,,,
Melanoma_5K,scMAE_plus_neighbormix,3407,004_neighbormix_frozen_graph,original_scmae,False,False,False,True,random,0.7374252160425437,0.7361415277920528,0.6633616684914264,0.6551351604757083,0.7301466989335822,0.7361415277920528,0.7656141993246437,0.7088538712536887,9,,fixed,kmeans_known_k,True,/tmp/scmae_plus_screen_80_20260630/screen/Melanoma_5K/seed3407/004_neighbormix_frozen_graph,40.4,0.040496205432074,0.439148843288421,0.17243286967277502,0.6645707488059991,0.26479059457778903,0.017061822116374,,0.847502827644348,0.6862306594848631,0.37608367204666104,0.44375507792303703,0.44375507792303703,6.6563262939453125,0.0,0.847502827644348,0.799553632736206,0.8395031690597531,0.879604458808898,0.994211912155151,0.49842879176139804,0.0,0.0,0.0,,,,,,,,,,,
Melanoma_5K,scMAE_plus_ema_graph_neighbormix,3407,009_ema_graph_neighbormix,original_scmae,False,False,False,True,random,0.7385331265233769,0.7378381700556279,0.6663368796724402,0.6551548965203566,0.7325680012787018,0.7378381700556279,0.7671666847132578,0.7106695222062404,9,,fixed,kmeans_known_k,True,/tmp/scmae_plus_screen_80_20260630/screen/Melanoma_5K/seed3407/009_ema_graph_neighbormix,43.8,0.040586160655532,0.43049764633178705,0.170883610844612,0.666955590248107,0.26412585377693104,0.016840239986777,,0.848187983036041,0.633135735988616,0.364183962345123,0.42936701381195,0.42936701381195,6.440505027770996,0.0,0.848187983036041,0.799066245555877,0.8390926718711851,0.8951472043991081,0.988596618175506,0.5072639584541321,0.0,0.0,0.0,,,,,,,,,,,
Melanoma_5K,scMAE_plus_ema_graph_neighbormix,3407,009_ema_graph_neighbormix_d02,original_scmae,False,False,False,True,random,0.7130511854642145,0.7307221528010285,0.6506062921143348,0.6472222049701866,0.719643575594167,0.7307221528010286,0.7648019205213661,0.6995500260617439,9,,fixed,kmeans_known_k,True,/tmp/scmae_plus_screen_80_20260630/screen/Melanoma_5K/seed3407/009_ema_graph_neighbormix_d02,43.2,0.040586160655532,0.427263617515563,0.167426958680152,0.66624766588211,0.262574791908264,0.016397075727581003,,0.844182014465332,0.5859160423278801,0.34872156381607,0.413088115813575,0.413088115813575,6.196321964263916,0.0,0.844182014465332,0.796943187713623,0.8378412723541261,0.8911613821983331,0.9791840314865111,0.5048920512199401,0.0,0.0,0.0,,,,,,,,,,,
Melanoma_5K,scMAE_plus_consensus_graph_neighbormix,3407,010_consensus_graph_neighbormix,original_scmae,False,False,False,True,random,0.7374252160425437,0.7352514883387818,0.6633366004638952,0.6559687840480966,0.7301476790311303,0.735251488338782,0.7642510469807955,0.7083722543343304,9,,fixed,kmeans_known_k,True,/tmp/scmae_plus_screen_80_20260630/screen/Melanoma_5K/seed3407/010_consensus_graph_neighbormix,43.8,0.040586160655532,0.42041471600532504,0.166767209768295,0.665333032608032,0.264347434043884,0.016397075727581003,,0.8516601324081421,0.595062017440795,0.346204817295074,0.410222320703153,0.343422704778787,5.151340484619141,0.0,0.8439443111419671,0.7965229153633111,0.837675988674163,0.8914031386375421,0.9786465764045711,0.504726946353912,0.0,0.0,0.0,2.779851913452148,,,,,,,,,,
Melanoma_5K,scMAE_plus_consensus_graph_neighbormix,3407,010_consensus_graph_neighbormix_m3,original_scmae,False,False,False,True,random,0.7385331265233769,0.7372979857068642,0.6660486400467226,0.6564759231762012,0.7323468238671488,0.7372979857068642,0.7663293342774554,0.710385975489306,9,,fixed,kmeans_known_k,True,/tmp/scmae_plus_screen_80_20260630/screen/Melanoma_5K/seed3407/010_consensus_graph_neighbormix_m3,43.6,0.040586160655532,0.41418477892875605,0.16177324950695002,0.6702190637588501,0.265233755111694,0.016397075727581003,,0.86034482717514,0.657900154590606,0.347450703382492,0.41166999039810903,0.272220991210576,4.083314895629883,0.0,0.8440029621124261,0.7966091036796571,0.8377215862274171,0.8917405605316161,0.9787687659263611,0.504779696464538,0.0,0.0,0.0,3.0,,,,,,,,,,
