dataset,method,acc_mean,acc_std,acc_count,nmi_mean,nmi_std,nmi_count,ari_mean,ari_std,ari_count,f1_macro_mean,f1_macro_std,f1_macro_count,runtime_seconds_mean,runtime_seconds_std,seed_<lambda>,n_seeds,method_raw
Bach,PCA+KMeans known-K,0.8881268691051302,0.043206595874022015,3,0.8631255462342775,0.01916741624042374,3,0.8860556695116714,0.03532345557282422,3,0.7081459972263974,0.014705821302430543,3,11.111029227574667,2.3566987873691034,"42,2024,3407",3,pca_kmeans_known_k
Bach,VarFloor-scMAE,0.868242466068553,0.0032577224422667885,3,0.8551511861949278,0.003644217648640309,3,0.9021399894324137,0.004928228480990113,3,0.6818700881909668,0.008450306354687217,3,120.96514399846394,0.5807894881313587,"42,2024,3407",3,varfloor_scmae
Baron,PCA+KMeans known-K,0.805694946901622,0.0005086823367417796,3,0.7864886818797144,0.0030039273488045313,3,0.7510046218661817,0.001917599726219082,3,0.6311556975900866,0.009708399687397765,3,8.443218231201172,1.990435645577436,"42,2024,3407",3,pca_kmeans_known_k
Baron,VarFloor-scMAE,0.768817831718987,0.02571819566122002,3,0.7882888902660202,0.02443064907944404,3,0.774462731806727,0.048994860781124014,3,0.4929270680689521,0.06129519008174961,3,44.418025732040405,1.5047436365979643,"42,2024,3407",3,varfloor_scmae
CRA002977_1,PCA+KMeans known-K,0.7916019609634298,0.0010587581773218939,3,0.5206588987157513,0.0011711198354426935,3,0.5252918971776238,0.0020253986138333755,3,0.4783354171882575,0.0007618409237203983,3,15.364772001902262,4.104824917057102,"42,2024,3407",3,pca_kmeans_known_k
CRA002977_1,VarFloor-scMAE,0.7425474254742547,0.02521062169105673,3,0.5655618661638663,0.022663050080527797,3,0.675805995758231,0.02715738399275644,3,0.5121329536484339,0.01789591998041029,3,56.741718451182045,0.6730080183141662,"42,2024,3407",3,varfloor_scmae
CRA007122,PCA+KMeans known-K,0.37822273529450784,0.0038061999777857305,3,0.23644237012064537,0.0058315290248551034,3,0.0859511228060087,0.00714317752118883,3,0.2853558771439571,0.0005645729817420764,3,14.007418791453043,3.8215532266041516,"42,2024,3407",3,pca_kmeans_known_k
CRA007122,VarFloor-scMAE,0.3788994599471889,0.0016092866025116163,3,0.2835537710212444,0.0008236986788166139,3,0.17106073069803687,0.008082268334963356,3,0.3147148225313281,0.017603534189306384,3,128.8387283484141,0.4522868736678755,"42,2024,3407",3,varfloor_scmae
Guo,PCA+KMeans known-K,0.7755007704160247,0.0777992025937683,3,0.8141782933988227,0.02566056193622029,3,0.7605113416322248,0.06305564413496441,3,0.6659078030184483,0.08335380026739134,3,7.754189968109131,1.5750448843412637,"42,2024,3407",3,pca_kmeans_known_k
Guo,VarFloor-scMAE,0.8277863379558296,0.0013810302680789793,3,0.8413325097167493,0.0018765648572725215,3,0.8259371711648122,0.0027718601844017657,3,0.7423784856075032,0.004322562508382783,3,33.557777086893715,0.8479746429295999,"42,2024,3407",3,varfloor_scmae
Limb_Muscle,PCA+KMeans known-K,0.954975697109235,0.05383595986199507,3,0.9335708368865706,0.04514171064227969,3,0.9350101558788052,0.08012719529860937,3,0.9115212630075908,0.1111135273256622,3,5.50351603825887,0.3770721311544364,"42,2024,3407",3,pca_kmeans_known_k
Limb_Muscle,VarFloor-scMAE,0.9841391660271169,0.0031121834383720792,3,0.955741242077759,0.006823310013751232,3,0.9798640859472582,0.004410422739560431,3,0.9722464991048002,0.005185714958906112,3,19.06098993619283,0.6441098593791391,"42,2024,3407",3,varfloor_scmae
Macosko,PCA+KMeans known-K,0.8474974706897577,0.13366768505548418,3,0.7588582070841547,0.08009544537441887,3,0.7573318634123957,0.21755820820758034,3,0.6880358840125744,0.04819203081837464,3,12.388986905415853,0.27705323728903214,"42,2024,3407",3,pca_kmeans_known_k
Macosko,VarFloor-scMAE,0.7012438255073499,0.081464526467956,3,0.627812182085644,0.050663401085013424,3,0.6038988398916588,0.1738279403691275,3,0.4007452971912882,0.019604066191397703,3,235.87366469701132,1.2532091488115646,"42,2024,3407",3,varfloor_scmae
Melanoma_5K,PCA+KMeans known-K,0.7126080212718812,0.08871810655813624,3,0.7226812614785052,0.01212259694801886,3,0.6176244555698238,0.074910132705751,3,0.5874283317368931,0.06284447676629543,3,5.451493581136067,0.0330797119236355,"42,2024,3407",3,pca_kmeans_known_k
Melanoma_5K,VarFloor-scMAE,0.7212497230223797,0.0037668956348326788,3,0.7219785425094943,0.002679957037786463,3,0.648467635579231,0.0030776436295475405,3,0.6346392327625706,0.0015401553558121914,3,23.085863908131916,0.33022474385511674,"42,2024,3407",3,varfloor_scmae
