dataset,method,acc_mean,acc_std,acc_count,nmi_mean,nmi_std,nmi_count,ari_mean,ari_std,ari_count,f1_macro_mean,f1_macro_std,f1_macro_count,runtime_seconds_mean,runtime_seconds_std,seed_<lambda>,n_seeds,method_raw
Bach,DEC,0.709785484242006,0.0399889696847721,3,0.6847146938190539,0.0427547129337962,3,0.6140921406587005,0.0770350727395145,3,0.4278674144537613,0.0231516318406171,3,132.29999999999998,12.258874336577565,"42,2024,3407",3,dec
Bach,Leiden,0.833620887968714,0.0149305873825819,3,0.7302265403133075,0.0029488369063035,3,0.718750714134408,0.0004791178786085,3,0.5142880989288062,0.0569102934342461,3,82.53333333333335,0.9073771725877408,"42,2024,3407",3,leiden
Bach,Louvain,0.8340378421900162,0.0156155471804395,3,0.7255513849856067,0.0022028464215478,3,0.7156846477669475,0.0033202053082173,3,0.5160216429089105,0.054227731834791,3,121.2,2.1071307505705525,"42,2024,3407",3,louvain
Bach,scMAE + NeighborMix,0.8386530940878768,0.0275939314470493,3,0.8497593980927193,0.0132544824596906,3,0.85060716399501,0.0137713094924047,3,0.7240645286506516,0.0698585620227454,3,296.90000000000003,2.8583211855913,"42,2024,3407",3,neighbormix_scmae
Bach,scMAE w/o NeighBorMix,0.8596302047389003,0.0456193919450874,3,0.8555384764369109,0.0195782956088792,3,0.8754472707485634,0.0416025574295015,3,0.7162990183011623,0.0206972151469437,3,115.0,1.374772708486753,"42,2024,3407",3,nm_scmae_nomix
Bach,SC3,0.0638802622498274,0.0872973996157358,3,0.8350424645607039,0.0079839083945846,3,0.8122297292409143,0.064720647731137,3,0.1876938831072888,0.0361594015661656,3,51.63333333333333,1.2741009902410945,"42,2024,3407",3,sc3
Bach,scDCC,0.7100586611456178,0.0179248918193846,3,0.7860618481610349,0.012762920814744,3,0.6671998829065849,0.0335052958068601,3,0.6169660408769299,0.0118934577242441,3,613.9666666666667,13.651495644556103,"42,2024,3407",3,scdcc
Bach,scMAE,0.8596302047389003,0.0456193919450874,3,0.8555384764369109,0.0195782956088792,3,0.8754472707485634,0.0416025574295015,3,0.7162990183011623,0.0206972151469437,3,171.4333333333333,0.4163331998932278,"42,2024,3407",3,scmae
Bach,DESC,0.5507821486082355,0.0636270384693304,3,0.6442497107712751,0.0276592373949845,3,0.4547696873175741,0.0850180205179324,3,0.441646348439181,0.023040614502485,3,528.1666666666666,61.76158460834159,"42,2024,3407",3,desc
Bach,scNAME,0.8757188865884519,0.0387921248226251,3,0.8687069239478499,0.0194688936113212,3,0.8700587090103316,0.0217284688761272,3,0.7273862320030197,0.0079396308692076,3,7555.85,197.63634534164004,"42,2024,3407",3,scname
Bach,scziDesk,0.890901771336554,0.0614369395109846,3,0.8683370815126344,0.0526085865814371,3,0.8536866534738946,0.0813919722526433,3,0.7035956824916104,0.1008949102529684,3,3300.633333333333,828.2502902706001,"42,2024,3407",3,sczidesk
Baron,DEC,0.798109464348232,0.0320890311065531,3,0.7172126174111463,0.0340439763537365,3,0.7079039741060305,0.0663667169714293,3,0.5701769965926934,0.0455354020924097,3,70.66666666666667,1.0692676621563684,"42,2024,3407",3,dec
Baron,Leiden,0.8698797992764616,0.0004207668660828,3,0.7534062697585373,0.0004932968113963,3,0.7753037801760945,0.0009848768114047,3,0.4981659996176966,0.0052485124790402,3,49.3,0.8544003745317545,"42,2024,3407",3,leiden
Baron,Louvain,0.8618664177072392,0.0015230693546856,3,0.7359663665303099,0.0033615428254227,3,0.7586812077371832,0.0040530578744126,3,0.497845673359353,0.0070261770614095,3,61.13333333333333,1.715614564327704,"42,2024,3407",3,louvain
Baron,scMAE + NeighborMix,0.7541136655385693,0.0933162315259046,3,0.8212760410990323,0.0296769900275694,3,0.7714417866208855,0.1258938451338381,3,0.6260093181366123,0.0059511564514643,3,117.16666666666669,3.401960219246148,"42,2024,3407",3,neighbormix_scmae
