label,n_cells,same_label_edge_ratio,same_label_edge_ratio_weighted,is_minority_q25
0,6514,0.9910961007061713,0.9911608695983887,False
1,472,0.9597457627118644,0.9606413841247559,False
2,1218,0.9,0.900350034236908,False
3,1064,0.45827067669172933,0.4591585397720337,False
4,2703,0.802441731409545,0.8026402592658997,False
5,1694,0.7077922077922078,0.7080625295639038,False
6,826,0.95181598062954,0.9521064758300781,False
7,664,0.9647590361445784,0.96506667137146,False
8,36,0.6444444444444445,0.6593561172485352,True
9,36,0.6166666666666667,0.6233089566230774,True
10,589,0.9894736842105263,0.9900546669960022,False
11,114,0.9736842105263158,0.9736538529396057,True
12,717,0.8783821478382148,0.8793112635612488,False
13,1862,0.9959183673469387,0.9957956671714783,False
14,155,0.9883870967741936,0.9904806613922119,True
