label,n_cells,precision,recall,f1,is_rare_lt_50
0,6514,0.9878437047756874,0.5239484187902979,0.6847226401845722,False
1,472,0.7779632721202003,0.9872881355932204,0.8702147525676938,False
2,1218,0.5609065155807366,0.9753694581280788,0.7122302158273381,False
3,1064,0.0,0.0,0.0,False
4,2703,0.5778871978513876,0.9552349241583425,0.7201227164970018,False
5,1694,0.0007952286282306163,0.0011806375442739079,0.000950344499881207,False
6,826,0.944640753828033,0.9709443099273608,0.9576119402985075,False
7,664,0.9428989751098097,0.9698795180722891,0.9561989606533037,False
8,36,0.0016863406408094434,0.027777777777777776,0.003179650238473768,True
9,36,0.9565217391304348,0.6111111111111112,0.7457627118644068,True
10,589,0.9650582362728786,0.9847198641765704,0.9747899159663865,False
11,114,0.9655172413793104,0.9824561403508771,0.9739130434782609,False
12,717,0.9605263157894737,0.8145048814504882,0.8815094339622641,False
13,1862,0.9962059620596206,0.9871106337271751,0.9916374426760184,False
14,155,0.9803921568627451,0.967741935483871,0.974025974025974,False
