true,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
0,3413,0,0,21,4,2478,1,0,590,0,0,0,1,5,1
1,0,466,1,0,4,0,0,0,0,0,0,0,1,0,0
2,0,0,1188,0,20,0,0,1,0,0,0,0,9,0,0
3,4,13,27,0,1006,0,6,2,0,0,0,0,6,0,0
4,3,0,107,0,2582,1,6,3,0,0,0,0,1,0,0
5,1,116,760,0,802,2,7,2,0,0,0,0,4,0,0
6,1,0,1,0,5,0,802,15,0,0,0,0,2,0,0
7,2,0,0,0,1,0,15,644,0,0,1,0,0,1,0
8,10,0,2,0,2,1,2,2,1,0,13,3,0,0,0
9,4,1,2,1,0,1,0,0,0,22,4,1,0,0,0
10,3,0,1,0,1,4,0,0,0,0,580,0,0,0,0
11,0,0,0,0,0,0,0,0,0,0,1,112,0,1,0
12,13,3,28,5,39,26,9,9,1,0,0,0,584,0,0
13,1,0,1,11,0,1,0,5,1,1,1,0,0,1838,2
14,0,0,0,0,2,1,1,0,0,0,1,0,0,0,150
