true,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
0,2478,0,5,4,0,0,0,0,590,0,1,21,1,1,3413
1,0,1,0,4,0,0,466,0,0,0,0,0,0,1,0
2,0,1188,0,20,0,1,0,0,0,0,0,0,0,9,0
3,0,27,0,1006,0,2,13,0,0,0,0,0,6,6,4
4,1,107,0,2582,0,3,0,0,0,0,0,0,6,1,3
5,2,760,0,802,0,2,116,0,0,0,0,0,7,4,1
6,0,1,0,5,0,15,0,0,0,0,0,0,802,2,1
7,0,0,1,1,0,644,0,1,0,0,0,0,15,0,2
8,1,2,0,2,3,2,0,13,1,0,0,0,2,0,10
9,1,2,0,0,1,0,1,4,0,22,0,1,0,0,4
10,4,1,0,1,0,0,0,580,0,0,0,0,0,0,3
11,0,0,1,0,112,0,0,1,0,0,0,0,0,0,0
12,26,28,0,39,0,9,3,0,1,0,0,5,9,584,13
13,1,1,1838,0,0,5,0,1,1,1,2,11,0,0,1
14,1,0,0,2,0,0,0,1,0,0,150,0,1,0,0
