dataset,seed,variant,source_variant,graph_enabled,prob_graph_gain,ari,nmi,acc,q_total
Baron,42,safe_rdg_calibrated_logistic_explore,rdg_always_on,True,0.8983824985954314,0.62410629510805,0.7211628751457325,0.7287898237834053,0.6957839329478427
Baron,3047,safe_rdg_calibrated_logistic_explore,rdg_always_on,True,0.8984553004502536,0.7024829910146035,0.7357810413657385,0.7567977593651535,0.6973995961712136
Baron,3407,safe_rdg_calibrated_logistic_explore,rdg_always_on,True,0.8984923303949501,0.6129429007516166,0.7162060853522692,0.7228381374722838,0.6991913732298318
Guo,42,safe_rdg_calibrated_logistic_explore,rdg_always_on,True,0.8303826240692553,0.7610108301611663,0.7890339417092235,0.7996918335901386,0.7052634123430593
Guo,3047,safe_rdg_calibrated_logistic_explore,rdg_always_on,True,0.8304394993538272,0.7552499156940935,0.7869920798724989,0.7975346687211095,0.7060002920092563
Guo,3407,safe_rdg_calibrated_logistic_explore,rdg_always_on,True,0.8304421777933232,0.7648584185752533,0.7969270482480549,0.8046224961479199,0.7058801344924008
Limb_Muscle,42,safe_rdg_calibrated_logistic_explore,rdg_always_on,True,0.8011162620410544,0.7405171494539577,0.8191764645784329,0.9073931951905858,0.7480758399043035
Limb_Muscle,3047,safe_rdg_calibrated_logistic_explore,rdg_always_on,True,0.8012075217908898,0.9178236736167543,0.9139755268194685,0.9626502941928882,0.7507644099663849
Limb_Muscle,3407,safe_rdg_calibrated_logistic_explore,rdg_always_on,True,0.801340621766529,0.8316440336294294,0.8840377522373788,0.9068815553850089,0.7508270163641906
Melanoma_5K,42,safe_rdg_calibrated_logistic_explore,rdg_always_on,True,0.8005731551227795,0.49222483570110837,0.630622612305064,0.6315089740748947,0.7505869524559667
Melanoma_5K,3047,safe_rdg_calibrated_logistic_explore,rdg_always_on,True,0.8005570831601888,0.48103676231082865,0.6178074751542626,0.6184356304010636,0.7464863494149473
