label,n_cells,precision,recall,f1,is_rare_lt_50
0,6514,0.9888169511477339,0.5158120970217992,0.6779661016949152,False
1,472,0.8070175438596491,0.9745762711864406,0.8829174664107485,False
2,1218,0.7264957264957265,0.9072249589490968,0.8068638189120116,False
3,1064,0.0,0.0,0.0,False
4,2703,0.5347163420829806,0.4672586015538291,0.49871668311944717,False
5,1694,0.26240115025161753,0.4309327036599764,0.3261840929401251,False
6,826,0.9427890345649583,0.9576271186440678,0.9501501501501501,False
7,664,0.9560439560439561,0.5240963855421686,0.6770428015564203,False
8,36,0.0015723270440251573,0.027777777777777776,0.002976190476190476,True
9,36,0.000784313725490196,0.05555555555555555,0.0015467904098994587,True
10,589,0.9666666666666667,0.9847198641765704,0.975609756097561,False
11,114,0.9658119658119658,0.9912280701754386,0.9783549783549783,False
12,717,0.9574468085106383,0.8158995815899581,0.8810240963855421,False
13,1862,0.9956966110812264,0.994092373791622,0.9948938457403924,False
14,155,0.9802631578947368,0.9612903225806452,0.9706840390879479,False
