label,n_cells,precision,recall,f1,is_rare_lt_50
0,4426,0.8689688954200343,0.8016267510167194,0.8339405335527089,False
1,54,0.9642857142857143,1.0,0.9818181818181818,False
2,6285,0.9546710889994472,0.5495624502784408,0.6975663940220135,False
3,1868,0.9613920609026645,0.9464668094218416,0.9538710547612624,False
4,85,0.0008914244963451596,0.11764705882352941,0.0017694417411306732,False
5,432,0.0005626670417780279,0.009259259259259259,0.0010608672589842195,False
6,252,0.4708171206225681,0.9603174603174603,0.6318537859007833,False
7,67,0.9836065573770492,0.8955223880597015,0.9375,False
8,1624,0.9274241522903034,0.9599753694581281,0.9434190620272315,False
9,63,0.0004248088360237893,0.015873015873015872,0.0008274720728175424,False
10,29400,0.9683692204974128,0.3946598639455782,0.5607752162776086,False
11,252,0.7849829351535836,0.9126984126984127,0.8440366972477065,False
