true,0,1,2,3,4,5,6,7,8,9,10,11
0,3548,0,71,29,210,143,268,1,8,15,133,0
1,0,54,0,0,0,0,0,0,0,0,0,0
2,19,0,3454,15,145,160,0,0,5,2316,171,0
3,2,0,10,1768,27,6,0,0,1,0,54,0
4,0,0,1,1,10,0,0,0,73,0,0,0
5,414,0,0,0,9,4,1,0,0,0,4,0
6,1,0,0,0,3,0,242,0,0,0,6,0
7,4,0,0,1,0,1,0,60,0,0,0,1
8,1,1,5,2,36,5,0,0,1559,5,10,0
9,0,1,0,0,2,0,0,0,0,1,0,59
10,94,0,77,23,10760,6785,3,0,35,17,11603,3
11,0,0,0,0,16,5,0,0,0,0,1,230
