true,0,1,2,3,4,5,6,7,8,9,10,11
0,15,143,133,29,3548,71,1,268,8,210,0,0
1,0,0,0,0,0,0,0,0,0,0,54,0
2,2316,160,171,15,19,3454,0,0,5,145,0,0
3,0,6,54,1768,2,10,0,0,1,27,0,0
4,0,0,0,1,0,1,0,0,73,10,0,0
5,0,4,4,0,414,0,0,1,0,9,0,0
6,0,0,6,0,1,0,0,242,0,3,0,0
7,0,1,0,1,4,0,60,0,0,0,0,1
8,5,5,10,2,1,5,0,0,1559,36,1,0
9,1,0,0,0,0,0,0,0,0,2,1,59
10,17,6785,11603,23,94,77,0,3,35,10760,0,3
11,0,5,1,0,0,0,0,0,0,16,0,230
