true,0,1,2,3,4,5,6,7,8
0,510,0,0,2,0,0,0,0,0
1,0,56,0,0,0,0,0,0,0
2,1,0,906,58,0,0,1,1,0
3,2,0,104,1045,0,0,0,2,0
4,0,0,0,0,62,0,0,0,0
5,0,0,1,0,0,119,0,0,0
6,1,0,0,45,0,0,0,0,0
7,0,2,1,1,0,2,468,612,165
8,171,20,31,36,22,37,6,13,10
