true,0,1,2,3,4,5,6,7,8
0,510,0,0,2,0,0,0,0,0
1,0,56,0,0,0,0,0,0,0
2,1,0,903,60,0,0,2,1,0
3,2,0,105,1043,0,0,0,3,0
4,0,0,0,0,62,0,0,0,0
5,0,0,1,0,0,119,0,0,0
6,0,0,0,46,0,0,0,0,0
7,0,2,1,1,0,2,468,612,165
8,170,20,32,35,22,37,6,14,10
