label,n_cells,precision,recall,f1,is_rare_lt_50
0,4426,0.9810587663914522,0.45639403524627203,0.6229760986892829,False
1,54,0.00032351989647363315,0.018518518518518517,0.0006359300476947536,False
2,6285,0.9453491581562241,0.5449482895783612,0.6913605167541381,False
3,1868,0.9691142191142191,0.8902569593147751,0.9280133928571429,False
4,85,0.627906976744186,0.9529411764705882,0.7570093457943925,False
5,432,0.9782608695652174,0.9375,0.9574468085106383,False
6,252,0.1059322033898305,0.9920634920634921,0.19142419601837674,False
7,67,7.61556621734826e-05,0.014925373134328358,0.00015153811183512653,False
8,1624,0.9705882352941176,0.9550492610837439,0.962756052141527,False
9,63,0.0004268032437046522,0.015873015873015872,0.0008312551953449709,False
10,29400,0.9658783302464738,0.4611904761904762,0.624292094479488,False
11,252,0.7843137254901961,0.9523809523809523,0.8602150537634409,False
