label,n_cells,precision,recall,f1,is_rare_lt_50
0,6514,0.9893310265282583,0.5267116978814861,0.6874373872971349,False
1,472,0.8657587548638133,0.9427966101694916,0.9026369168356998,False
2,1218,0.8447058823529412,0.8842364532019704,0.8640192539109507,False
3,1064,0.1931229392369289,0.38533834586466165,0.25729526200188263,False
4,2703,0.6198243412797992,0.3655197928227895,0.4598557132883407,False
5,1694,0.3912543153049482,0.4014167650531287,0.3962703962703963,False
6,826,0.958179581795818,0.9430992736077481,0.9505796217205613,False
7,664,0.9323741007194245,0.9759036144578314,0.9536423841059603,False
8,36,0.0015527950310559005,0.027777777777777776,0.0029411764705882353,True
9,36,0.0020234722784297854,0.1388888888888889,0.003988831272437176,True
10,589,0.9650582362728786,0.9847198641765704,0.9747899159663865,False
11,114,0.9658119658119658,0.9912280701754386,0.9783549783549783,False
12,717,0.9632721202003339,0.8047419804741981,0.8768996960486323,False
13,1862,0.9951508620689655,0.9919441460794844,0.9935449166218397,False
14,155,0.9551282051282052,0.9612903225806452,0.9581993569131833,False
