dataset,rg_none,rg_reliability,canm_diagnostic_only,canm_cut_ot,canm_mix_plus_cut,canm_cut_ot_warm,canm_mix_plus_cut_warm,canm_cut_reweighted_mix
Macosko,0.4100517814684983,0.3446655686846679,0.4100517814684983,0.0,0.0,0.0,0.0,0.3732874256022652
Melanoma_5K,0.6656458656897767,0.6579231820466342,0.6656458656897767,0.5484888723048812,0.5434081694441121,0.6202892450318266,0.6197965909381453,0.664733700215499
SRP182008,0.4600076264889612,0.3647035697385781,0.4600076264889612,0.0,0.0,0.0,0.0,0.4443267937614685
Tosches,0.7444738515776234,0.5311731834994952,0.7444738515776234,0.0,0.0,0.0,0.0,0.7389076207884887
Wang,0.7449928105412928,0.942741283722221,0.7449928105412928,0.7330632097500518,0.7346703091316307,0.7852678042917005,0.7852678042917005,0.9391771630721
