true,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
0,43,0,0,0,550,0,0,0,4,470,6,0,7,0,2
1,4,0,674,2,1,0,0,0,1,1,1,0,2,0,4
2,0,0,1,0,0,1,0,0,1,336,1,0,12,0,2
3,83,0,0,1,528,2,0,314,4,9,3,0,3,0,1
4,9,0,0,0,0,2,225,0,3,20,1,0,3,0,37
5,15,0,0,0,1,0,0,0,5,21,1,0,1448,0,33
6,213,0,0,0,2,0,0,1,1,89,1,0,75,0,14
7,22,0,0,2,2,0,0,0,1333,35,318,0,19,3,17
8,84,0,2,250,1,0,0,0,12,28,208,0,12,244,13
9,2,0,0,0,0,2,0,0,22,2,236,0,2,0,0
10,20,0,2,0,2,730,0,0,20,65,301,0,7,1,5
11,25,0,31,0,2,0,0,0,24,1085,20,0,344,0,1038
12,10,0,0,0,16,0,0,0,4,440,2,0,4,0,2
13,5,136,29,0,0,0,0,0,3,19,3,127,6,0,16
14,632,0,0,0,4,0,0,0,23,37,57,0,52,0,0
