true,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
0,550,0,0,0,0,7,0,4,0,6,0,2,470,0,43
1,1,674,0,0,0,2,0,1,2,1,0,4,1,0,4
2,0,1,0,0,0,12,0,1,0,1,1,2,336,0,0
3,528,0,0,314,0,3,0,4,1,3,2,1,9,0,83
4,0,0,0,0,225,3,0,3,0,1,2,37,20,0,9
5,1,0,0,0,0,1448,0,5,0,1,0,33,21,0,15
6,2,0,0,1,0,75,0,1,0,1,0,14,89,0,213
7,2,0,0,0,0,19,3,1333,2,318,0,17,35,0,22
8,1,2,0,0,0,12,244,12,250,208,0,13,28,0,84
9,0,0,0,0,0,2,0,22,0,236,2,0,2,0,2
10,2,2,0,0,0,7,1,20,0,301,730,5,65,0,20
11,2,31,0,0,0,344,0,24,0,20,0,1038,1085,0,25
12,16,0,0,0,0,4,0,4,0,2,0,2,440,0,10
13,0,29,127,0,0,6,0,3,0,3,0,16,19,136,5
14,4,0,0,0,0,52,0,23,0,57,0,0,37,0,632
