label,n_cells,same_label_edge_ratio,same_label_edge_ratio_weighted,is_minority_q25
0,6514,0.7956401596561252,0.9896562695503235,False
1,472,0.7648305084745762,0.9462507367134094,False
2,1218,0.7223316912972085,0.8861488699913025,False
3,1064,0.3656015037593985,0.4465460479259491,False
4,2703,0.6429152793192748,0.7856403589248657,False
5,1694,0.5644628099173554,0.6914511919021606,False
6,826,0.7619854721549637,0.945453941822052,False
7,664,0.7689759036144578,0.9601438641548157,False
8,36,0.5222222222222223,0.6569178104400635,True
9,36,0.5,0.6154284477233887,True
10,589,0.7840407470288625,0.9891486763954163,False
11,114,0.7842105263157895,0.9685991406440735,True
12,717,0.693723849372385,0.864162802696228,False
13,1862,0.7960257787325457,0.9936180114746094,False
14,155,0.7858064516129032,0.9909844994544983,True
