dataset,group,seed,method,ari,nmi,acc,f1_macro,delta_ari_vs_nomix,delta_f1_vs_nomix,run_dir
Guo,neutral,2,random_pseudo_gate_p0.5,0.8212113460949836,0.8441878837512424,0.8588597842835131,0.7765588356362586,-0.010004481112032226,-0.005461573617296267,results/experiments/neighbormix_stochastic_regularization_20260616/Guo/random_pseudo_gate_p0.5/seed2
Guo,neutral,2,snn_neighbormix,0.8138307555652498,0.84337198463032,0.8554699537750385,0.823126919965332,-0.01738507164176606,0.04110651071177718,results/experiments/neighbormix_stochastic_regularization_20260616/Guo/snn_neighbormix/seed2
Macosko,negative,0,consensus_neighbormix_threshold0.4,0.369683802256558,0.6011086399271741,0.4983261917514729,0.4658183668295772,-0.01814289431985261,-0.017870355876398458,results/experiments/neighbormix_stochastic_regularization_20260616/Macosko/consensus_neighbormix_threshold0.4/seed0
Macosko,negative,0,global_random_neighbor_control,0.3922207902415417,0.6233678103653653,0.528298518121764,0.5406266692442758,0.004394093665131105,0.056937946538300144,results/experiments/neighbormix_stochastic_regularization_20260616/Macosko/global_random_neighbor_control/seed0
Macosko,negative,0,mutual_knn_neighbormix,0.5374272044036649,0.6864720844137316,0.6640108909123371,0.6341096939162911,0.14960050782725426,0.15042097121031545,results/experiments/neighbormix_stochastic_regularization_20260616/Macosko/mutual_knn_neighbormix/seed0
Macosko,negative,0,neighbormix_scmae,0.3769024644167392,0.6128796636932126,0.5230762363863596,0.5623962687799303,-0.010924232159671421,0.07870754607395464,results/experiments/neighbormix_stochastic_regularization_20260616/Macosko/neighbormix_scmae/seed0
Macosko,negative,0,nm_scmae_nomix,0.3878266965764106,0.6106231305014275,0.5125870380289234,0.4836887227059757,0.0,0.0,results/experiments/neighbormix_stochastic_regularization_20260616/Macosko/nm_scmae_nomix/seed0
Macosko,negative,0,random_beta_uniform_0.1,0.3768237487651865,0.6194858127555044,0.5642742367434387,0.6529239886708077,-0.011002947811224129,0.16923526596483202,results/experiments/neighbormix_stochastic_regularization_20260616/Macosko/random_beta_uniform_0.1/seed0
Macosko,negative,0,random_edge_dropout_keep0.5,0.5395218282835764,0.6624489678628642,0.6474067130869487,0.4987080658552863,0.1516951317071658,0.015019343149310638,results/experiments/neighbormix_stochastic_regularization_20260616/Macosko/random_edge_dropout_keep0.5/seed0
Macosko,negative,0,random_pseudo_gate_p0.5,0.3724069689116014,0.5989599020323072,0.4838198535975718,0.4568709536440431,-0.015419727664809202,-0.02681776906193256,results/experiments/neighbormix_stochastic_regularization_20260616/Macosko/random_pseudo_gate_p0.5/seed0
Macosko,negative,0,snn_neighbormix,0.3816182885678859,0.6184822298843032,0.5494108194965185,0.565975996095651,-0.006208408008524735,0.08228727338967529,results/experiments/neighbormix_stochastic_regularization_20260616/Macosko/snn_neighbormix/seed0
Macosko,negative,1,consensus_neighbormix_threshold0.4,0.3799223323411339,0.6234985239749075,0.5009596500624889,0.5150097056032671,-0.002876152759514139,-0.10240860948222985,results/experiments/neighbormix_stochastic_regularization_20260616/Macosko/consensus_neighbormix_threshold0.4/seed1
Macosko,negative,1,global_random_neighbor_control,0.3875188918758084,0.6066393268242696,0.5000446348866274,0.4890896979733774,0.004720406775160391,-0.12832861711211951,results/experiments/neighbormix_stochastic_regularization_20260616/Macosko/global_random_neighbor_control/seed1
Macosko,negative,1,mutual_knn_neighbormix,0.3843775612966098,0.630853487207254,0.5432735225852526,0.6369095586156419,0.001579076195961815,0.019491243530144975,results/experiments/neighbormix_stochastic_regularization_20260616/Macosko/mutual_knn_neighbormix/seed1
Macosko,negative,1,neighbormix_scmae,0.5359461830707533,0.6749428595859188,0.6615113372612034,0.5516889325728304,0.15314769797010525,-0.06572938251266658,results/experiments/neighbormix_stochastic_regularization_20260616/Macosko/neighbormix_scmae/seed1
Macosko,negative,1,nm_scmae_nomix,0.382798485100648,0.6002594546039903,0.549879485806106,0.6174183150854969,0.0,0.0,results/experiments/neighbormix_stochastic_regularization_20260616/Macosko/nm_scmae_nomix/seed1
Macosko,negative,1,random_beta_uniform_0.1,0.5580397388951099,0.6852154288053748,0.686194429566149,0.6337488684502359,0.17524125379446193,0.016330553364738987,results/experiments/neighbormix_stochastic_regularization_20260616/Macosko/random_beta_uniform_0.1/seed1
Macosko,negative,1,random_edge_dropout_keep0.5,0.3747916455336484,0.6103337739550224,0.5127878950187467,0.5749854492545468,-0.008006839566999602,-0.042432865830950184,results/experiments/neighbormix_stochastic_regularization_20260616/Macosko/random_edge_dropout_keep0.5/seed1
Macosko,negative,1,random_pseudo_gate_p0.5,0.5383371644671376,0.6484237716226968,0.6394170683806463,0.4890021424979857,0.15553867936648963,-0.12841617258751126,results/experiments/neighbormix_stochastic_regularization_20260616/Macosko/random_pseudo_gate_p0.5/seed1
Macosko,negative,1,snn_neighbormix,0.3842044161087966,0.6232931451474653,0.5186797000535619,0.5465961116429964,0.0014059310081485643,-0.07082220344250056,results/experiments/neighbormix_stochastic_regularization_20260616/Macosko/snn_neighbormix/seed1
Macosko,negative,2,consensus_neighbormix_threshold0.4,0.3692802116200728,0.6134060666022212,0.5494108194965185,0.6482411046179445,0.06546301405222227,0.18782867183072688,results/experiments/neighbormix_stochastic_regularization_20260616/Macosko/consensus_neighbormix_threshold0.4/seed2
Macosko,negative,2,global_random_neighbor_control,0.3839439600934746,0.6078350484352152,0.5113372612033565,0.5697692473274206,0.08012676252562406,0.10935681454020302,results/experiments/neighbormix_stochastic_regularization_20260616/Macosko/global_random_neighbor_control/seed2
Macosko,negative,2,mutual_knn_neighbormix,0.3754426172779733,0.6167061003213079,0.5193492233529727,0.5633950794714138,0.07162541971012276,0.10298264668419616,results/experiments/neighbormix_stochastic_regularization_20260616/Macosko/mutual_knn_neighbormix/seed2
Macosko,negative,2,neighbormix_scmae,0.3788974501177174,0.6177578343749399,0.508391358685949,0.556128500779326,0.07508025254986689,0.09571606799210836,results/experiments/neighbormix_stochastic_regularization_20260616/Macosko/neighbormix_scmae/seed2
Macosko,negative,2,nm_scmae_nomix,0.3038171975678505,0.5729016167749271,0.442822710230316,0.4604124327872176,0.0,0.0,results/experiments/neighbormix_stochastic_regularization_20260616/Macosko/nm_scmae_nomix/seed2
Macosko,negative,2,random_beta_uniform_0.1,0.5350112968845268,0.6684275645049572,0.6612212104981253,0.6340047564295133,0.23119409931667623,0.17359232364229565,results/experiments/neighbormix_stochastic_regularization_20260616/Macosko/random_beta_uniform_0.1/seed2
Macosko,negative,2,random_edge_dropout_keep0.5,0.3742094189170434,0.6169042082849504,0.5237903945723977,0.5715868378934152,0.07039222134919287,0.11117440510619764,results/experiments/neighbormix_stochastic_regularization_20260616/Macosko/random_edge_dropout_keep0.5/seed2
Macosko,negative,2,random_pseudo_gate_p0.5,0.3795726455226217,0.6141267101675575,0.5310658810926621,0.5710724524776357,0.07575544795477118,0.11066001969041811,results/experiments/neighbormix_stochastic_regularization_20260616/Macosko/random_pseudo_gate_p0.5/seed2
Macosko,negative,2,snn_neighbormix,0.5377214709113876,0.6855864374088196,0.6704606320299946,0.6519169503583494,0.23390427334353703,0.1915045175711318,results/experiments/neighbormix_stochastic_regularization_20260616/Macosko/snn_neighbormix/seed2
Melanoma_5K,positive,0,consensus_neighbormix_threshold0.4,0.6663769279286944,0.7362114361616848,0.7376467981387104,0.6535728927315082,0.0030879069860580977,0.004218557574349857,results/experiments/neighbormix_stochastic_regularization_20260616/Melanoma_5K/consensus_neighbormix_threshold0.4/seed0
Melanoma_5K,positive,0,global_random_neighbor_control,0.6506454431299864,0.7276853308460943,0.7323288278307113,0.6521730882726837,-0.012643577812649909,0.0028187531155253742,results/experiments/neighbormix_stochastic_regularization_20260616/Melanoma_5K/global_random_neighbor_control/seed0
Melanoma_5K,positive,0,mutual_knn_neighbormix,0.7238388747002601,0.7519554785508141,0.8127631287391979,0.6757868654188397,0.060549853757623784,0.026432530261681353,results/experiments/neighbormix_stochastic_regularization_20260616/Melanoma_5K/mutual_knn_neighbormix/seed0
Melanoma_5K,positive,0,neighbormix_scmae,0.6656074013919019,0.7357030066603475,0.7374252160425437,0.6535076277183821,0.002318380449265578,0.004153292561223765,results/experiments/neighbormix_stochastic_regularization_20260616/Melanoma_5K/neighbormix_scmae/seed0
Melanoma_5K,positive,0,nm_scmae_nomix,0.6632890209426363,0.7324219572324416,0.7365388876578772,0.6493543351571583,0.0,0.0,results/experiments/neighbormix_stochastic_regularization_20260616/Melanoma_5K/nm_scmae_nomix/seed0
Melanoma_5K,positive,0,random_beta_uniform_0.1,0.6578141902800557,0.7319986620816552,0.7349878129847108,0.6554824202470165,-0.005474830662580588,0.006128085089858182,results/experiments/neighbormix_stochastic_regularization_20260616/Melanoma_5K/random_beta_uniform_0.1/seed0
Melanoma_5K,positive,0,random_edge_dropout_keep0.5,0.6651582950643621,0.734386190130395,0.7372036339463771,0.653454162584382,0.0018692741217257725,0.004099827427223701,results/experiments/neighbormix_stochastic_regularization_20260616/Melanoma_5K/random_edge_dropout_keep0.5/seed0
Melanoma_5K,positive,0,random_pseudo_gate_p0.5,0.6644675030504897,0.7347198929170374,0.7367604697540439,0.6537541858624526,0.001178482107853429,0.00439985070529425,results/experiments/neighbormix_stochastic_regularization_20260616/Melanoma_5K/random_pseudo_gate_p0.5/seed0
Melanoma_5K,positive,0,snn_neighbormix,0.664731469158731,0.7345467778451625,0.7369820518502105,0.6533014778022337,0.0014424482160947383,0.003947142645075341,results/experiments/neighbormix_stochastic_regularization_20260616/Melanoma_5K/snn_neighbormix/seed0
Melanoma_5K,positive,1,consensus_neighbormix_threshold0.4,0.6627912723453586,0.7317608977695609,0.7363173055617106,0.6524494805333535,0.0021677655948028063,-0.0009798498598555527,results/experiments/neighbormix_stochastic_regularization_20260616/Melanoma_5K/consensus_neighbormix_threshold0.4/seed1
Melanoma_5K,positive,1,global_random_neighbor_control,0.6526262841195906,0.7283923497784854,0.7385331265233769,0.6558013236892433,-0.00799722263096525,0.002371993296034214,results/experiments/neighbormix_stochastic_regularization_20260616/Melanoma_5K/global_random_neighbor_control/seed1
Melanoma_5K,positive,1,mutual_knn_neighbormix,0.6607211756191479,0.7301121983895426,0.7354309771770441,0.6520231945895111,9.766886859208235e-05,-0.001406135803697972,results/experiments/neighbormix_stochastic_regularization_20260616/Melanoma_5K/mutual_knn_neighbormix/seed1
Melanoma_5K,positive,1,neighbormix_scmae,0.6612296095332062,0.7307388877394358,0.7356525592732107,0.6521128184163776,0.0006061027826503862,-0.0013165119768314693,results/experiments/neighbormix_stochastic_regularization_20260616/Melanoma_5K/neighbormix_scmae/seed1
