dataset,seed,method,effective_neighbor_count,edge_keep_rate,pseudo_branch_activation_rate,perturbation_norm_mean,perturbation_norm_p95,neighbor_similarity_mean,neighbor_similarity_std,mutual_ratio,snn_mean,snn_std,consensus_mean,consensus_std,fallback_rate,hubness_p95,hubness_max,same_label_edge_ratio,same_label_edge_ratio_weighted,minority_class_neighbor_purity,run_dir
Guo,0,consensus_neighbormix_threshold0.4,3.9126695564992886,1.0,1.0,2.1997529910206794,4.431497004270554,0.9560000896453856,0.043057132512331,0.3352850539291217,0.1569244712591171,0.1445473283529281,0.5714268088340759,0.1876221299171447,0.0677349768875192,15.0,78.0,0.9518027734976888,0.9523504376411438,0.9019264976183572,results/experiments/neighbormix_stochastic_regularization_20260616/Guo/consensus_neighbormix_threshold0.4/seed0
Guo,1,consensus_neighbormix_threshold0.4,3.911273299859346,1.0,1.0,2.201492516160011,4.438826264262199,0.9559815526008606,0.0430121421813964,0.3352234206471494,0.1555929780006408,0.1436024755239486,0.5715131163597107,0.1891597509384155,0.069553158705701,16.0,81.0,0.9513405238828968,0.9516983032226562,0.8975264628728231,results/experiments/neighbormix_stochastic_regularization_20260616/Guo/consensus_neighbormix_threshold0.4/seed1
Guo,2,consensus_neighbormix_threshold0.4,3.9120270683207914,1.0,1.0,2.197117046892642,4.424793696403503,0.9557780027389526,0.0430368483066558,0.3341140215716487,0.1549956053495407,0.142301321029663,0.5714514851570129,0.1885042041540146,0.0680739599383667,16.0,66.0,0.9521417565485362,0.9527187943458556,0.9004046122233073,results/experiments/neighbormix_stochastic_regularization_20260616/Guo/consensus_neighbormix_threshold0.4/seed2
Guo,0,global_random_neighbor_control,4.000000015237235,1.0,1.0,3.448094963312149,6.070113668441772,0.0680221393704414,0.3906375169754028,0.0007395993836671,0.0003115904983133,0.0058757192455232,0.0,0.0,0.0,9.0,15.0,0.1460708782742681,0.1460708379745483,0.0320115263263384,results/experiments/neighbormix_stochastic_regularization_20260616/Guo/global_random_neighbor_control/seed0
Guo,1,global_random_neighbor_control,4.000000015237235,1.0,1.0,3.4498144794702528,6.073912587165832,0.069460742175579,0.3908553421497345,0.0009861325115562,0.0003458311839494,0.0061891903169453,0.0,0.0,0.0,9.0,14.0,0.1466255778120185,0.1466255486011505,0.0294663682579994,results/experiments/neighbormix_stochastic_regularization_20260616/Guo/global_random_neighbor_control/seed1
Guo,2,global_random_neighbor_control,4.000000015237235,1.0,1.0,3.450942465543747,6.095687300920487,0.0662233978509903,0.3905977308750152,0.0008012326656394,0.00039376821951,0.0066027990542352,0.0,0.0,0.0,9.0,14.0,0.1455161787365177,0.1455161422491073,0.0354153737425804,results/experiments/neighbormix_stochastic_regularization_20260616/Guo/global_random_neighbor_control/seed2
Guo,0,mutual_knn_neighbormix,3.996957935618024,1.0,1.0,2.180647498607635,4.383380737185478,0.9560685753822328,0.0427916869521141,0.3333744221879815,0.1566529721021652,0.1447712332010269,0.333374410867691,0.4714190661907196,0.6666255778120185,15.0,78.0,0.9518335901386747,0.952261447906494,0.9076267679532368,results/experiments/neighbormix_stochastic_regularization_20260616/Guo/mutual_knn_neighbormix/seed0
Guo,1,mutual_knn_neighbormix,3.996946873750365,1.0,1.0,2.181490679740906,4.3883490931987765,0.9560303092002868,0.0429082550108432,0.3340523882896764,0.1553142964839935,0.1437475383281707,0.3340523838996887,0.4716581404209137,0.6659476117103236,16.0,82.0,0.9514329738058552,0.9518691897392272,0.9027627309163412,results/experiments/neighbormix_stochastic_regularization_20260616/Guo/mutual_knn_neighbormix/seed1
Guo,2,mutual_knn_neighbormix,3.996959073690266,1.0,1.0,2.1781744417548183,4.381812441587448,0.9558458924293518,0.0427838116884231,0.3326964560862866,0.1548590213060379,0.1423371285200119,0.3326964676380157,0.4711788892745971,0.6673035439137134,16.0,66.0,0.9522650231124808,0.9526740908622742,0.9084535439809164,results/experiments/neighbormix_stochastic_regularization_20260616/Guo/mutual_knn_neighbormix/seed2
Guo,0,neighbormix_scmae,3.996962932447235,1.0,1.0,2.180609413802624,4.383298908472062,0.9560685753822328,0.0427916869521141,0.3333744221879815,0.1566529721021652,0.1447712332010269,1.0,0.0,0.0,15.0,78.0,0.9518335901386747,0.952261447906494,0.9076267679532368,results/experiments/neighbormix_stochastic_regularization_20260616/Guo/neighbormix_scmae/seed0
