stage,method,dataset,seed,acc,nmi,ari,f1_macro,baseline_nmi,baseline_ari,meets_baseline_any,collapse_warning,embedding_variance,neighbor_purity_proxy,mixed_cell_fraction,run_dir
screen,rank05_tabr_retrieval_context_full,Quake_10x_Spleen,42,0.692001675041876,0.6320913695987822,0.4796667903289537,0.6406782465474589,0.85173,0.922275,False,False,1.1520094871520996,0.9898241206030151,0.0,/home/luolie/biopipeline/dimension-reduction/plantnet/methods/DeepLearning/scMAEs/runs/scMAEs_independent_screen/rank05_tabr_retrieval_context_full/Quake_10x_Spleen/seed42
smoke,rank06_scvgae_zinb_variational_full,Melanoma_5K,42,0.6275204963438954,0.6103270984513088,0.4838828573800954,0.4978405306484403,0.735414,0.668029,False,False,0.03218434378504753,0.7801905606027033,0.0,/home/luolie/biopipeline/dimension-reduction/plantnet/methods/DeepLearning/scMAEs/runs/scMAEs_independent_smoke/rank06_scvgae_zinb_variational_full/Melanoma_5K/seed42
screen,rank06_scvgae_zinb_variational_full,Melanoma_5K,42,0.6578772435187237,0.6836294976655418,0.5856658586418148,0.5079955977714875,0.735414,0.668029,False,False,0.4477112293243408,0.8906713937513849,0.0,/home/luolie/biopipeline/dimension-reduction/plantnet/methods/DeepLearning/scMAEs/runs/scMAEs_independent_screen/rank06_scvgae_zinb_variational_full/Melanoma_5K/seed42
screen,rank06_scvgae_zinb_variational_full,Quake_10x_Spleen,42,0.7415201005025126,0.7021671962812153,0.5253488315373424,0.7333982474128644,0.85173,0.922275,False,False,0.361397922039032,0.9901695979899497,0.0,/home/luolie/biopipeline/dimension-reduction/plantnet/methods/DeepLearning/scMAEs/runs/scMAEs_independent_screen/rank06_scvgae_zinb_variational_full/Quake_10x_Spleen/seed42
screen,rank06_scvgae_zinb_variational_full,Macosko,42,0.3619889305481164,0.5327110029811468,0.2185228416129253,0.3554976025810544,0.657465,0.494268,False,False,0.3966754674911499,0.96724245670416,0.0,/home/luolie/biopipeline/dimension-reduction/plantnet/methods/DeepLearning/scMAEs/runs/scMAEs_independent_screen/rank06_scvgae_zinb_variational_full/Macosko/seed42
smoke,rank07_dinobloom_self_distill_full,Melanoma_5K,42,0.4941280744515843,0.43749981149009487,0.31038107358893835,0.4205225856686484,0.735414,0.668029,False,False,0.09417583048343658,0.6662087303345889,0.0,/home/luolie/biopipeline/dimension-reduction/plantnet/methods/DeepLearning/scMAEs/runs/scMAEs_independent_smoke/rank07_dinobloom_self_distill_full/Melanoma_5K/seed42
screen,rank07_dinobloom_self_distill_full,Melanoma_5K,42,0.6937735430977177,0.7109216332669678,0.6424244695681165,0.5081114498279633,0.735414,0.668029,False,False,0.7806434035301208,0.892510525149568,0.0,/home/luolie/biopipeline/dimension-reduction/plantnet/methods/DeepLearning/scMAEs/runs/scMAEs_independent_screen/rank07_dinobloom_self_distill_full/Melanoma_5K/seed42
screen,rank07_dinobloom_self_distill_full,Quake_10x_Spleen,42,0.7113693467336684,0.6529763729756909,0.5013013501303234,0.643229975247945,0.85173,0.922275,False,False,0.8648667931556702,0.989677554438861,0.0,/home/luolie/biopipeline/dimension-reduction/plantnet/methods/DeepLearning/scMAEs/runs/scMAEs_independent_screen/rank07_dinobloom_self_distill_full/Quake_10x_Spleen/seed42
screen,rank07_dinobloom_self_distill_full,Macosko,42,0.43947509373326193,0.5683399851208086,0.30027784396777896,0.3643374049168597,0.657465,0.494268,False,False,1.035423755645752,0.9679119800035708,0.0,/home/luolie/biopipeline/dimension-reduction/plantnet/methods/DeepLearning/scMAEs/runs/scMAEs_independent_screen/rank07_dinobloom_self_distill_full/Macosko/seed42
smoke,rank10_celler_longtail_protection_full,Melanoma_5K,42,0.5504099268779082,0.47304765011986244,0.35201806421844195,0.38265048602279395,0.735414,0.668029,False,False,0.4410006105899811,0.7660536228672723,0.0,/home/luolie/biopipeline/dimension-reduction/plantnet/methods/DeepLearning/scMAEs/runs/scMAEs_independent_smoke/rank10_celler_longtail_protection_full/Melanoma_5K/seed42
screen,rank10_celler_longtail_protection_full,Melanoma_5K,42,0.6370485264790605,0.6382632059398246,0.5420755464996948,0.4997049680821226,0.735414,0.668029,False,False,2.656128168106079,0.8513184134721914,0.0,/home/luolie/biopipeline/dimension-reduction/plantnet/methods/DeepLearning/scMAEs/runs/scMAEs_independent_screen/rank10_celler_longtail_protection_full/Melanoma_5K/seed42
screen,rank10_celler_longtail_protection_full,Quake_10x_Spleen,42,0.5461683417085427,0.5228732976771929,0.3221704037974657,0.43146470228598305,0.85173,0.922275,False,False,2.1780686378479004,0.9819095477386934,0.0,/home/luolie/biopipeline/dimension-reduction/plantnet/methods/DeepLearning/scMAEs/runs/scMAEs_independent_screen/rank10_celler_longtail_protection_full/Quake_10x_Spleen/seed42
smoke,rank11_scmamba_module_sequence_full,Melanoma_5K,42,0.3494349656547751,0.2454642701139416,0.16572819756077387,0.2691640930284438,0.735414,0.668029,False,False,0.002642464591190219,0.5576113450033238,0.0,/home/luolie/biopipeline/dimension-reduction/plantnet/methods/DeepLearning/scMAEs/runs/scMAEs_independent_smoke/rank11_scmamba_module_sequence_full/Melanoma_5K/seed42
screen,rank11_scmamba_module_sequence_full,Melanoma_5K,42,0.6310658098825614,0.663967027723902,0.5508245684133776,0.5040311151262659,0.735414,0.668029,False,False,0.0184166319668293,0.8343230666962109,0.0,/home/luolie/biopipeline/dimension-reduction/plantnet/methods/DeepLearning/scMAEs/runs/scMAEs_independent_screen/rank11_scmamba_module_sequence_full/Melanoma_5K/seed42
