dataset,method,acc_mean,acc_std,acc_count,nmi_mean,nmi_std,nmi_count,ari_mean,ari_std,ari_count,f1_macro_mean,f1_macro_std,f1_macro_count,runtime_seconds_mean,runtime_seconds_std,seed_<lambda>,n_seeds,method_raw
Bach,DEC,0.709785484242006,0.039988969684772134,3,0.6847146938190539,0.04275471293379627,3,0.6140921406587005,0.07703507273951454,3,0.42786741445376136,0.023151631840617116,3,132.29999999999998,12.258874336577563,"42,2024,3407",3,dec
Bach,Leiden,0.833620887968714,0.014930587382581984,3,0.7302265403133075,0.0029488369063035377,3,0.718750714134408,0.00047911787860850907,3,0.5142880989288062,0.05691029343424618,3,82.53333333333335,0.9073771725877409,"42,2024,3407",3,leiden
Bach,Louvain,0.8340378421900162,0.015615547180439598,3,0.7255513849856067,0.0022028464215478626,3,0.7156846477669475,0.0033202053082173936,3,0.5160216429089105,0.05422773183479105,3,121.2,2.1071307505705525,"42,2024,3407",3,louvain
Bach,scMAE + NeighborMix,0.8386530940878768,0.02759393144704934,3,0.8497593980927193,0.01325448245969066,3,0.85060716399501,0.013771309492404783,3,0.7240645286506516,0.06985856202274547,3,296.90000000000003,2.8583211855912998,"42,2024,3407",3,neighbormix_scmae
Bach,scMAE w/o NeighBorMix,0.8596302047389003,0.04561939194508749,3,0.8555384764369109,0.01957829560887926,3,0.8754472707485634,0.04160255742950159,3,0.7162990183011623,0.020697215146943792,3,115.0,1.374772708486753,"42,2024,3407",3,nm_scmae_nomix
Bach,SC3,0.0638802622498274,0.0872973996157358,3,0.8350424645607039,0.007983908394584682,3,0.8122297292409143,0.06472064773113707,3,0.18769388310728888,0.036159401566165615,3,51.63333333333333,1.2741009902410945,"42,2024,3407",3,sc3
Bach,scDCC,0.7100586611456178,0.017924891819384614,3,0.7860618481610349,0.012762920814744087,3,0.6671998829065849,0.03350529580686011,3,0.6169660408769299,0.011893457724244154,3,613.9666666666667,13.651495644556105,"42,2024,3407",3,scdcc
Bach,scMAE,0.8596302047389003,0.04561939194508749,3,0.8555384764369109,0.01957829560887926,3,0.8754472707485634,0.04160255742950159,3,0.7162990183011623,0.020697215146943792,3,171.4333333333333,0.41633319989322787,"42,2024,3407",3,scmae
Bach,DESC,0.5507821486082355,0.0636270384693304,3,0.6442497107712751,0.027659237394984583,3,0.45476968731757417,0.08501802051793242,3,0.441646348439181,0.023040614502485002,3,528.1666666666666,61.76158460834159,"42,2024,3407",3,desc
Bach,scNAME,0.8757188865884519,0.03879212482262516,3,0.8687069239478499,0.019468893611321276,3,0.8700587090103316,0.021728468876127227,3,0.7273862320030197,0.00793963086920765,3,7555.85,197.63634534164004,"42,2024,3407",3,scname
Bach,scziDesk,0.890901771336554,0.06143693951098462,3,0.8683370815126344,0.05260858658143719,3,0.8536866534738946,0.08139197225264337,3,0.7035956824916104,0.10089491025296844,3,3300.633333333333,828.2502902706001,"42,2024,3407",3,sczidesk
Baron,DEC,0.798109464348232,0.0320890311065531,3,0.7172126174111463,0.0340439763537365,3,0.7079039741060305,0.0663667169714293,3,0.5701769965926934,0.04553540209240973,3,70.66666666666667,1.0692676621563684,"42,2024,3407",3,dec
Baron,Leiden,0.8698797992764616,0.00042076686608285495,3,0.7534062697585373,0.000493296811396383,3,0.7753037801760945,0.000984876811404765,3,0.4981659996176966,0.0052485124790402765,3,49.300000000000004,0.8544003745317545,"42,2024,3407",3,leiden
Baron,Louvain,0.8618664177072392,0.00152306935468567,3,0.7359663665303099,0.0033615428254227123,3,0.7586812077371832,0.004053057874412654,3,0.49784567335935304,0.007026177061409581,3,61.13333333333333,1.7156145643277039,"42,2024,3407",3,louvain
Baron,scMAE + NeighborMix,0.7541136655385693,0.09331623152590467,3,0.8212760410990323,0.029676990027569426,3,0.7714417866208855,0.1258938451338381,3,0.6260093181366123,0.00595115645146432,3,117.16666666666667,3.401960219246148,"42,2024,3407",3,neighbormix_scmae
Baron,scMAE w/o NeighBorMix,0.7344303108102852,0.0074991117974720885,3,0.8109900000488719,0.010212716995932592,3,0.7681338575221317,0.008781696780234327,3,0.6085257343165162,0.012799781191051704,3,71.23333333333333,1.8610033136277164,"42,2024,3407",3,nm_scmae_nomix
Baron,SC3,0.07488232777064606,0.12798488524736593,3,0.8036780877279085,0.0009145667726929294,3,0.6363130555006592,0.00043754582384566233,3,0.06991826774129363,0.06390327595980838,3,16.833333333333332,1.5534906930308077,"42,2024,3407",3,sc3
Baron,scDCC,0.659353483486988,0.024982466250313362,3,0.825109034549134,0.0010834968700740252,3,0.6336470329716182,0.008601000024467289,3,0.6091259300827679,0.005393432533255662,3,254.70000000000002,8.50646812725471,"42,2024,3407",3,scdcc
Baron,scMAE,0.7344303108102852,0.0074991117974720885,3,0.8109900000488719,0.010212716995932592,3,0.7681338575221317,0.008781696780234327,3,0.6085257343165162,0.012799781191051704,3,71.23333333333333,1.5695009822658066,"42,2024,3407",3,scmae
Baron,DESC,0.4481269693079706,0.030058507333223516,3,0.6631496690689824,0.0101511761073364,3,0.3530533156230342,0.020255877955655997,3,0.33302022245142066,0.04218819776273574,3,168.56666666666666,8.588558280254807,"42,2024,3407",3,desc
Baron,scNAME,0.6674057649667405,0.06268807179811177,3,0.8007688349977355,0.024420432501577594,3,0.6273399025961776,0.0365890736536328,3,0.5602813507802843,0.12963894654448063,3,2382.2000000000003,260.81512609509423,"42,2024,3407",3,scname
Baron,scziDesk,0.6659275683665927,0.06365286631556015,3,0.8030090716909903,0.01681974028740242,3,0.6657252939750404,0.07560532343764437,3,0.5370219550560749,0.05835602973166057,3,1099.8666666666666,287.1592125169125,"42,2024,3407",3,sczidesk
Baron,AttentionAE-SC,0.7170809507138133,0.07518781158956443,3,0.6284539364363074,0.08425672301077619,3,0.5715916635930067,0.10435842386031136,3,0.28962482228368325,0.08140774086268897,3,643.9666666666667,178.51499470165896,"42,2024,3407",3,attentionae_sc
