dataset,method,acc_mean,acc_std,acc_count,nmi_mean,nmi_std,nmi_count,ari_mean,ari_std,ari_count,f1_macro_mean,f1_macro_std,f1_macro_count,runtime_seconds_mean,runtime_seconds_std,seed_<lambda>,n_seeds,method_raw
Macosko,scMAEs_008_cell_hierarchy_proto,0.5396134618818068,,1,0.4772452558398712,,1,0.2590172379113357,,1,0.3340462620361873,,1,237.99736785888672,,42,1,008_cell_hierarchy_proto
Macosko,scMAEs_010_longtail_prototype,0.4086993394036779,,1,0.439016548281032,,1,0.1648889506667667,,1,0.2684180326078703,,1,341.8238821029663,,42,1,010_longtail_prototype
Melanoma_5K,scMAEs_008_cell_hierarchy_proto,0.7387547086195435,,1,0.6586214904499917,,1,0.6355869012576703,,1,0.5864747784970776,,1,28.126380443572998,,42,1,008_cell_hierarchy_proto
Melanoma_5K,scMAEs_010_longtail_prototype,0.7567028584090405,,1,0.6706800696672223,,1,0.6697200703380201,,1,0.5276797103636831,,1,28.309074640274048,,42,1,010_longtail_prototype
Melanoma_5K,scMAEs_030_fuzzy_rough_boundary,0.7471748282738755,,1,0.7001343449254571,,1,0.6754312640173237,,1,0.5383049859621727,,1,36.612040281295776,,42,1,030_fuzzy_rough_boundary
Quake_10x_Spleen,scMAEs_008_cell_hierarchy_proto,0.571608040201005,,1,0.5362703469865097,,1,0.3866131880679152,,1,0.5033581903755365,,1,54.57787823677063,,42,1,008_cell_hierarchy_proto
Quake_10x_Spleen,scMAEs_010_longtail_prototype,0.5672110552763819,,1,0.513731899382664,,1,0.3042520371979443,,1,0.5160151019687479,,1,61.06156015396118,,42,1,010_longtail_prototype
Quake_10x_Spleen,scMAEs_030_fuzzy_rough_boundary,0.5979899497487438,,1,0.5545299195782203,,1,0.3714038092311111,,1,0.5599515353299009,,1,82.765784740448,,42,1,030_fuzzy_rough_boundary
