dataset,analytic_ari_mean,delta_ari_vs_fixed_mean,delta_ari_vs_random_mean,delta_macro_f1_vs_fixed_mean,delta_rare_recall_vs_fixed_mean,seed_positive_vs_fixed,seed_positive_vs_random
Macosko,0.3001738938027122,0.0337351588756912,0.027271681643669943,0.059595701715853155,,2,2
Pollen,0.8852804653766009,-0.03367882686185125,0.0,-0.022919568001189106,-0.01656431803490621,0,0
Tosches,0.51305080762166,0.0017974082151872017,-0.0007246769606755743,-0.028503795546212185,0.0,1,0
Wang,0.9694394947569127,0.00045999067067414856,-2.351975375902704e-06,0.00015311127121575563,,1,0
worm_neuron_cell,0.5289673707422072,0.005489300673270442,0.008962302035707553,0.009108960146514744,,1,1
