dataset,mix_mode,pseudo_objective,ari_mean,ari_std,n
Macosko,analytic_RC,full_pseudo,0.25582099907706357,0.004109952108149025,2
Macosko,analytic_RC,rec_only,0.3001738938027122,0.005841473099915009,2
Macosko,fixed_control,full_pseudo,0.30728713879113567,0.0007303184414625744,2
Macosko,fixed_control,rec_only,0.26643873492702097,0.042383575866767206,2
Wang,analytic_RC,full_pseudo,0.9675872833389784,0.0013150466454421922,2
Wang,analytic_RC,rec_only,0.9694394947569127,0.002611718935783911,2
Wang,fixed_control,full_pseudo,0.9678240893128394,0.001626664245803554,2
Wang,fixed_control,rec_only,0.9689795040862386,0.0019611938907514344,2
