dataset,mix_mode,pseudo_objective,ari_mean,ari_std,nmi_mean,macro_f1_mean,rare_cell_recall_mean,gate_mean,gate_std,valid_edge_count_mean,fallback_rate,effective_neighbor_count_mean,median_TV_ratio_high_TV_genes,high_TV_compression_rate
Macosko,analytic_RC,rec_only,0.3001738938027122,0.005841473099915009,0.5626970343245902,0.434787856203401,,0.04334620013833046,0.03644423931837082,6.380891805034815,0.06588109266202463,3.4525322914123535,0.8854824912143755,0.0
Macosko,edge_only,rec_only,0.30638524378974474,0.0031957051708750503,0.5768223081281401,0.4566732693488771,,0.10000001639127731,1.4901161193847656e-08,6.380891805034815,0.06588109266202463,3.4525322914123535,0.7600393754787254,0.84
Macosko,fixed_control,rec_only,0.26643873492702097,0.042383575866767206,0.5415578009708084,0.37519215448754784,,0.10000001639127731,1.4901161193847656e-08,6.380891805034815,0.06588109266202463,3.4525322914123535,0.7984222191826376,0.652
Macosko,gate_only,rec_only,0.3015925005770915,0.0009669304607855581,0.574319997177746,0.43748079897003234,,0.04334620013833046,0.03644423931837082,6.380891805034815,0.06588109266202463,3.4525322914123535,0.9004614834060878,0.0
Macosko,random_delta_matched,rec_only,0.27290221215904226,0.0432199995404842,0.5505942998523455,0.4177070692689927,,0.04334620013833046,0.03644423931837082,6.380891805034815,0.06588109266202463,3.4525322914123535,0.9415099982943409,0.0
Pollen,analytic_RC,rec_only,0.8852804653766009,0.0,0.9308535909312552,0.8279973146283307,0.8402714932126697,0.037455879151821136,0.02986706607043743,8.0,0.0,5.37120246887207,0.9418104382444246,0.0
Pollen,edge_only,rec_only,0.9203136052551802,0.04954434154880066,0.9405480760116778,0.8534942908231027,0.8587588881706529,0.10000002384185791,2.2351741790771484e-08,8.0,0.0,5.37120246887207,0.7907388681864246,0.764
Pollen,fixed_control,rec_only,0.9189592922384522,0.04762905371284531,0.9393008315065142,0.8509168826295198,0.8568358112475759,0.10000002384185791,2.2351741790771484e-08,8.0,0.0,5.37120246887207,0.8053109888515049,0.176
Pollen,gate_only,rec_only,0.8852804653766009,0.0,0.9308535909312552,0.8279973146283307,0.8402714932126697,0.037455879151821136,0.02986706607043743,8.0,0.0,5.37120246887207,0.9427182967872636,0.0
Pollen,random_delta_matched,rec_only,0.8852804653766009,0.0,0.9308535909312552,0.8279973146283307,0.8402714932126697,0.037455879151821136,0.02986706607043743,8.0,0.0,5.37120246887207,0.9708926170620342,0.0
Tosches,analytic_RC,rec_only,0.51305080762166,0.002845226925186431,0.7251877684285725,0.6419606058848502,0.027777777777777776,0.04267586022615433,0.035814665257930756,6.989391341620231,0.02325332190312902,4.082460880279541,0.9090630609811144,0.0
Tosches,edge_only,rec_only,0.5146245560457161,0.0012348758924623758,0.7274530671274807,0.6820703492531681,0.020833333333333332,0.10000000894069672,7.450580596923828e-09,6.989391341620231,0.02325332190312902,4.082460880279541,0.7723580952008036,0.884
Tosches,fixed_control,rec_only,0.5112533994064727,0.002935156657015896,0.7222728394787923,0.6704644014310623,0.027777777777777776,0.10000000894069672,7.450580596923828e-09,6.989391341620231,0.02325332190312902,4.082460880279541,0.804705941207726,0.012
Tosches,gate_only,rec_only,0.5167682518831742,0.0031284096485235608,0.7303198999161313,0.6803932244486457,0.027777777777777776,0.04267586022615433,0.035814665257930756,6.989391341620231,0.02325332190312902,4.082460880279541,0.9185501131991485,0.0
Tosches,random_delta_matched,rec_only,0.5137754845823356,0.0031735047145372663,0.7249454642007473,0.6416735017849293,0.027777777777777776,0.04267586022615433,0.035814665257930756,6.989391341620231,0.02325332190312902,4.082460880279541,0.954350436616653,0.0
Wang,analytic_RC,rec_only,0.9694394947569127,0.002611718935783911,0.923969161647795,0.9898891310570768,,0.04152028262615204,0.03506370633840561,6.871204958504045,0.0184893371152432,4.108096599578857,0.8850200832195732,0.0
Wang,edge_only,rec_only,0.9689795040862386,0.0019611938907514344,0.9230079016823951,0.989736019785861,,0.10000000894069672,7.450580596923828e-09,6.871204958504045,0.0184893371152432,4.108096599578857,0.7761180377825788,0.888
Wang,fixed_control,rec_only,0.9689795040862386,0.0019611938907514344,0.9230079016823951,0.989736019785861,,0.10000000894069672,7.450580596923828e-09,6.871204958504045,0.0184893371152432,4.108096599578857,0.8061150655429403,0.041999999999999996
Wang,gate_only,rec_only,0.9694394947569127,0.002611718935783911,0.923969161647795,0.9898891310570768,,0.04152028262615204,0.03506370633840561,6.871204958504045,0.0184893371152432,4.108096599578857,0.8969414419851003,0.0
Wang,random_delta_matched,rec_only,0.9694418467322885,0.002615045131258802,0.9239803909408906,0.989890758800171,,0.04152028262615204,0.03506370633840561,6.871204958504045,0.0184893371152432,4.108096599578857,0.94697793228161,0.0
worm_neuron_cell,analytic_RC,rec_only,0.5289673707422072,0.05196697874442552,0.6358848316617072,0.6898566633326038,,0.04386940412223339,0.03692633472383022,7.914118490205446,0.002866698518872432,3.7827852964401245,0.8957507389147289,0.0
worm_neuron_cell,edge_only,rec_only,0.5170332784471605,0.031027327204018334,0.6388165567930981,0.6785273586937034,,0.10000001639127731,1.4901161193847656e-08,7.914118490205446,0.002866698518872432,3.7827852964401245,0.7665229066757371,0.834
worm_neuron_cell,fixed_control,rec_only,0.5234780700689368,0.06608848468584755,0.6353635423023087,0.6807477031860891,,0.10000001639127731,1.4901161193847656e-08,7.914118490205446,0.002866698518872432,3.7827852964401245,0.7999458955142155,0.504
worm_neuron_cell,gate_only,rec_only,0.48512650566673066,0.03773238677689224,0.6254020183389242,0.6684861338205458,,0.04386940412223339,0.03692633472383022,7.914118490205446,0.002866698518872432,3.7827852964401245,0.9039724795350315,0.0
worm_neuron_cell,random_delta_matched,rec_only,0.5200050687064997,0.02949448473542324,0.6405030908221162,0.695444432197942,,0.04386940412223339,0.03692633472383022,7.914118490205446,0.002866698518872432,3.7827852964401245,0.9503161669898486,0.0
