dataset,method,seed,variant,mix_mode,pseudo_objective,g_max,pseudo_weight,known_k_interpretation,acc,nmi,ari,f1_macro,fmi,v_measure,homogeneity,completeness,n_pred_clusters,silhouette,protocol,cluster_method,uses_known_k,stage,run_dir,macro_f1,rare_cell_recall,gate_mean,gate_std,fraction_gate_lt_0.05_gmax,fraction_gate_gt_0.95_gmax,corr_gate_R,corr_gate_H,valid_edge_count_mean,no_valid_neighbor_rate,fallback_rate,effective_neighbor_count_mean,max_edge_weight_p95,KS_distance_perturb_norm,median_library_size_relative_diff,zero_fraction_absolute_diff,clip_rate_eta,passes_matching_thresholds,median_TV_ratio_all_genes,median_TV_ratio_high_TV_genes,high_TV_compression_rate,fixed_ari,fixed_macro_f1,fixed_rare_cell_recall,delta_ari_vs_fixed_control,delta_macro_f1_vs_fixed_control,delta_rare_recall_vs_fixed_control
Wang,RC_NeighborMix,42,stage1B_fixed_control_rec_only,fixed_control,rec_only,0.1,0.3,oracle-k embedding separability only,0.9932766046853662,0.9258559119155328,0.9703662775856104,0.9902008786421952,0.9898327535679706,0.9258559119155328,0.9258559119155328,0.9258559119155328,2,,fixed,kmeans_known_k,True,stage1B,results/rc_nm_checkpoint_v4_1/stage1B/Wang/seed42/fixed_control_rec_only,0.9902008786421952,,0.10000000894069672,7.450580596923828e-09,0.0,1.0,0.0,0.0,6.8691038974682215,0.0,0.01880449627061666,4.091141700744629,0.7278705835342407,,,,,,0.8048473658932574,0.8062479558589098,0.044,0.9703662775856104,0.9902008786421952,,0.0,0.0,
Wang,RC_NeighborMix,42,stage1B_edge_only_rec_only,edge_only,rec_only,0.1,0.3,oracle-k embedding separability only,0.9932766046853662,0.9258559119155328,0.9703662775856104,0.9902008786421952,0.9898327535679706,0.9258559119155328,0.9258559119155328,0.9258559119155328,2,,fixed,kmeans_known_k,True,stage1B,results/rc_nm_checkpoint_v4_1/stage1B/Wang/seed42/edge_only_rec_only,0.9902008786421952,,0.10000000894069672,7.450580596923828e-09,0.0,1.0,0.0,0.0,6.8691038974682215,0.0,0.01880449627061666,4.091141700744629,0.7278705835342407,,,,,,0.7797212172631287,0.7761897002442064,0.884,0.9703662775856104,0.9902008786421952,,0.0,0.0,
Wang,RC_NeighborMix,42,stage1B_gate_only_rec_only,gate_only,rec_only,0.1,0.3,oracle-k embedding separability only,0.9934867107889483,0.9277784318463328,0.9712862589269587,0.9905071011846268,0.9901483965668338,0.9277784318463328,0.9277784318463328,0.9277784318463328,2,,fixed,kmeans_known_k,True,stage1B,results/rc_nm_checkpoint_v4_1/stage1B/Wang/seed42/gate_only_rec_only,0.9905071011846267,,0.041482213884592056,0.03500695526599884,0.2123122176699233,0.06408236159260426,0.9216599711977423,-0.6398276731840298,6.8691038974682215,0.0,0.01880449627061666,4.091141700744629,0.7278705835342407,,,,,,0.8573013959164713,0.8974206913377392,0.0,0.9703662775856104,0.9902008786421952,,0.0009199813413482971,0.00030622254243151126,
Wang,RC_NeighborMix,42,stage1B_analytic_RC_rec_only,analytic_RC,rec_only,0.1,0.3,oracle-k embedding separability only,0.9934867107889483,0.9277784318463328,0.9712862589269587,0.9905071011846268,0.9901483965668338,0.9277784318463328,0.9277784318463328,0.9277784318463328,2,,fixed,kmeans_known_k,True,stage1B,results/rc_nm_checkpoint_v4_1/stage1B/Wang/seed42/analytic_RC_rec_only,0.9905071011846267,,0.041482213884592056,0.03500695526599884,0.2123122176699233,0.06408236159260426,0.9216599711977423,-0.6398276731840298,6.8691038974682215,0.0,0.01880449627061666,4.091141700744629,0.7278705835342407,,,,,,0.8437592329805431,0.8852566552733302,0.0,0.9703662775856104,0.9902008786421952,,0.0009199813413482971,0.00030622254243151126,
Wang,RC_NeighborMix,42,stage1B_random_delta_matched_rec_only,random_delta_matched,rec_only,0.1,0.3,oracle-k embedding separability only,0.9934867107889483,0.927800890432524,0.9712909628777106,0.9905103566708152,0.9901466472958094,0.927800890432524,0.9280351056652704,0.9275667933912852,2,,fixed,kmeans_known_k,True,stage1B,results/rc_nm_checkpoint_v4_1/stage1B/Wang/seed42/random_delta_matched_rec_only,0.9905103566708151,,0.041482213884592056,0.03500695526599884,0.2123122176699233,0.06408236159260426,0.9216599711977423,-0.6398276731840298,6.8691038974682215,0.0,0.01880449627061666,4.091141700744629,0.7278705835342407,0.00021010610358232484,9.543162013869733e-05,0.06600000000000006,0.0,False,0.9309001131488175,0.9469609148526936,0.0,0.9703662775856104,0.9902008786421952,,0.0009246852921001025,0.0003094780286199139,
Wang,RC_NeighborMix,2024,stage1B_fixed_control_rec_only,fixed_control,rec_only,0.1,0.3,oracle-k embedding separability only,0.9926462863746192,0.9201598914492573,0.9675927305868666,0.9892711609295268,0.9888927525564164,0.9201598914492573,0.9194616831444076,0.9208591609517934,2,,fixed,kmeans_known_k,True,stage1B,results/rc_nm_checkpoint_v4_1/stage1B/Wang/seed2024/fixed_control_rec_only,0.9892711609295268,,0.10000000894069672,7.450580596923828e-09,0.0,1.0,0.0,0.0,6.873306019539868,0.0,0.018174177959869735,4.125051498413086,0.7152637243270874,,,,,,0.8046716444124435,0.8059821752269707,0.04,0.9675927305868666,0.9892711609295268,,0.0,0.0,
Wang,RC_NeighborMix,2024,stage1B_edge_only_rec_only,edge_only,rec_only,0.1,0.3,oracle-k embedding separability only,0.9926462863746192,0.9201598914492573,0.9675927305868666,0.9892711609295268,0.9888927525564164,0.9201598914492573,0.9194616831444076,0.9208591609517934,2,,fixed,kmeans_known_k,True,stage1B,results/rc_nm_checkpoint_v4_1/stage1B/Wang/seed2024/edge_only_rec_only,0.9892711609295268,,0.10000000894069672,7.450580596923828e-09,0.0,1.0,0.0,0.0,6.873306019539868,0.0,0.018174177959869735,4.125051498413086,0.7152637243270874,,,,,,0.7799116355403017,0.7760463753209512,0.892,0.9675927305868666,0.9892711609295268,,0.0,0.0,
Wang,RC_NeighborMix,2024,stage1B_gate_only_rec_only,gate_only,rec_only,0.1,0.3,oracle-k embedding separability only,0.9926462863746192,0.9201598914492573,0.9675927305868666,0.9892711609295268,0.9888927525564164,0.9201598914492573,0.9194616831444076,0.9208591609517934,2,,fixed,kmeans_known_k,True,stage1B,results/rc_nm_checkpoint_v4_1/stage1B/Wang/seed2024/gate_only_rec_only,0.9892711609295268,,0.04155835136771202,0.03512045741081238,0.21514865006828449,0.06513289211051582,0.9217764947339835,-0.64870127398045,6.873306019539868,0.0,0.018174177959869735,4.125051498413086,0.7152637243270874,,,,,,0.8574667118739148,0.8964621926324615,0.0,0.9675927305868666,0.9892711609295268,,0.0,0.0,
Wang,RC_NeighborMix,2024,stage1B_analytic_RC_rec_only,analytic_RC,rec_only,0.1,0.3,oracle-k embedding separability only,0.9926462863746192,0.9201598914492573,0.9675927305868666,0.9892711609295268,0.9888927525564164,0.9201598914492573,0.9194616831444076,0.9208591609517934,2,,fixed,kmeans_known_k,True,stage1B,results/rc_nm_checkpoint_v4_1/stage1B/Wang/seed2024/analytic_RC_rec_only,0.9892711609295268,,0.04155835136771202,0.03512045741081238,0.21514865006828449,0.06513289211051582,0.9217764947339835,-0.64870127398045,6.873306019539868,0.0,0.018174177959869735,4.125051498413086,0.7152637243270874,,,,,,0.8445925405199253,0.884783511165816,0.0,0.9675927305868666,0.9892711609295268,,0.0,0.0,
Wang,RC_NeighborMix,2024,stage1B_random_delta_matched_rec_only,random_delta_matched,rec_only,0.1,0.3,oracle-k embedding separability only,0.9926462863746192,0.9201598914492573,0.9675927305868666,0.9892711609295268,0.9888927525564164,0.9201598914492573,0.9194616831444076,0.9208591609517934,2,,fixed,kmeans_known_k,True,stage1B,results/rc_nm_checkpoint_v4_1/stage1B/Wang/seed2024/random_delta_matched_rec_only,0.9892711609295268,,0.04155835136771202,0.03512045741081238,0.21514865006828449,0.06513289211051582,0.9217764947339835,-0.64870127398045,6.873306019539868,0.0,0.018174177959869735,4.125051498413086,0.7152637243270874,0.00021010610358232484,9.317020885646343e-05,0.06699999999999995,0.0,False,0.9311226832911208,0.9469949497105263,0.0,0.9675927305868666,0.9892711609295268,,0.0,0.0,
