value,mean_ari,min_ari,datasets
5,0.5865046775444256,0.375446531018292,Macosko:0.3754;SRP182008:0.4391;Wang:0.9450
10,0.6486709539274004,0.4502794186734164,Macosko:0.5521;SRP182008:0.4503;Wang:0.9436
15,0.6436918658442009,0.42929656803409294,Macosko:0.5564;SRP182008:0.4293;Wang:0.9454
