sweep,value,n_datasets,mean_ari,min_ari,max_ari,datasets
gate_max,0.05,5,0.59963823182072,0.3953823233806945,0.9458684612510618,Macosko:0.3954;Melanoma_5K:0.6621;SRP182008:0.4486;Tosches:0.5463;Wang:0.9459
gate_max,0.1,5,0.6263805277646484,0.4502794186734164,0.9436364081059153,Macosko:0.5521;Melanoma_5K:0.6582;SRP182008:0.4503;Tosches:0.5277;Wang:0.9436
gate_max,0.15,5,0.5682413575383193,0.3446655686846679,0.942741283722221,Macosko:0.3447;Melanoma_5K:0.6579;SRP182008:0.3647;Tosches:0.5312;Wang:0.9427
gate_max,0.2,5,0.6023585414430714,0.3695373177080046,0.942741283722221,Macosko:0.3695;Melanoma_5K:0.6607;SRP182008:0.5175;Tosches:0.5213;Wang:0.9427
neighbor_k,5.0,5,0.5933440031357676,0.375446531018292,0.9449715247883519,Macosko:0.3754;Melanoma_5K:0.6625;SRP182008:0.4391;Tosches:0.5447;Wang:0.9450
neighbor_k,10.0,5,0.6270218454656661,0.4502794186734164,0.9436364081059153,Macosko:0.5521;Melanoma_5K:0.6579;SRP182008:0.4503;Tosches:0.5312;Wang:0.9436
neighbor_k,15.0,5,0.626639921796331,0.42929656803409294,0.9454286675432151,Macosko:0.5564;Melanoma_5K:0.6587;SRP182008:0.4293;Tosches:0.5434;Wang:0.9454
pseudo_weight,0.1,5,0.6145377103972368,0.3566339173823635,0.940506399775066,Macosko:0.5667;Melanoma_5K:0.6649;SRP182008:0.3566;Tosches:0.5440;Wang:0.9405
pseudo_weight,0.3,5,0.6270218454656661,0.4502794186734164,0.9436364081059153,Macosko:0.5521;Melanoma_5K:0.6579;SRP182008:0.4503;Tosches:0.5312;Wang:0.9436
