sweep,dataset,label,value,seed,gate_max,neighbor_k,pseudo_weight,ari,acc,nmi,mean_node_gate,effective_neighbor_count,max_edge_weight_p95,path
gate_max,Tosches,gate_max_0p2,0.2,42,0.2,10,0.3,0.5212693145068252,0.6178204029147021,0.7295074660407923,0.11584988236427307,9.459118843078613,0.22250010073184967,experiment_packages/rg_gate_attention_20260613/outputs/phase2_sensitivity/gate_max/Tosches/gate_max_0p2/seed42
gate_max,Wang,gate_max_0p2,0.2,42,0.2,10,0.3,0.942741283722221,0.9868683685261057,0.8749763216904289,0.11541425436735153,9.480402946472168,0.22201292216777802,experiment_packages/rg_gate_attention_20260613/outputs/phase2_sensitivity/gate_max/Wang/gate_max_0p2/seed42
neighbor_k,Macosko,neighbor_k_5,5,42,0.1,5,0.3,0.375446531018292,0.5586725584717015,0.6194983573219581,0.056059613823890686,4.778664588928223,0.3857051134109497,experiment_packages/rg_gate_attention_20260613/outputs/phase2_sensitivity/neighbor_k/Macosko/neighbor_k_5/seed42
neighbor_k,Melanoma_5K,neighbor_k_5,5,42,0.15,5,0.3,0.6624923971347235,0.7409705295812098,0.7319406947724449,0.08484815806150436,4.710948467254639,0.44470828771591187,experiment_packages/rg_gate_attention_20260613/outputs/phase2_sensitivity/neighbor_k/Melanoma_5K/neighbor_k_5/seed42
neighbor_k,SRP182008,neighbor_k_5,5,42,0.1,5,0.3,0.4390959768266327,0.5924226727837798,0.6243451470953126,0.05465172976255417,4.771572113037109,0.4066612124443054,experiment_packages/rg_gate_attention_20260613/outputs/phase2_sensitivity/neighbor_k/SRP182008/neighbor_k_5/seed42
neighbor_k,Tosches,neighbor_k_5,5,42,0.15,5,0.3,0.544713585910838,0.6519502786112302,0.7653233034863594,0.08522678911685944,4.782461643218994,0.3820044696331024,experiment_packages/rg_gate_attention_20260613/outputs/phase2_sensitivity/neighbor_k/Tosches/neighbor_k_5/seed42
neighbor_k,Wang,neighbor_k_5,5,42,0.1,5,0.3,0.9449715247883519,0.9873936337850615,0.8785024501301905,0.05677749589085579,4.799622535705566,0.3791341781616211,experiment_packages/rg_gate_attention_20260613/outputs/phase2_sensitivity/neighbor_k/Wang/neighbor_k_5/seed42
neighbor_k,Macosko,neighbor_k_10,10,42,0.1,10,0.3,0.5520970350028693,0.7194920549901803,0.6924783438619452,0.05683118849992752,9.436885833740234,0.23006495833396912,experiment_packages/rg_gate_attention_20260613/outputs/phase2_sensitivity/neighbor_k/Macosko/neighbor_k_10/seed42
neighbor_k,Melanoma_5K,neighbor_k_10,10,42,0.15,10,0.3,0.6579231820466342,0.7345446487923776,0.7302366307244191,0.0871904194355011,9.249198913574219,0.3013256788253784,experiment_packages/rg_gate_attention_20260613/outputs/phase2_sensitivity/neighbor_k/Melanoma_5K/neighbor_k_10/seed42
neighbor_k,SRP182008,neighbor_k_10,10,42,0.1,10,0.3,0.4502794186734164,0.6067041586502886,0.6269853399915944,0.05604374036192894,9.404626846313477,0.25627434253692627,experiment_packages/rg_gate_attention_20260613/outputs/phase2_sensitivity/neighbor_k/SRP182008/neighbor_k_10/seed42
neighbor_k,Tosches,neighbor_k_10,10,42,0.15,10,0.3,0.5311731834994952,0.6329297042434634,0.741236275959622,0.0868874117732048,9.459118843078613,0.22250010073184967,experiment_packages/rg_gate_attention_20260613/outputs/phase2_sensitivity/neighbor_k/Tosches/neighbor_k_10/seed42
neighbor_k,Wang,neighbor_k_10,10,42,0.1,10,0.3,0.9436364081059153,0.987078474629688,0.8764542747177129,0.057707127183675766,9.480402946472168,0.22201292216777802,experiment_packages/rg_gate_attention_20260613/outputs/phase2_sensitivity/neighbor_k/Wang/neighbor_k_10/seed42
