dataset,seed,variant,source_variant,graph_enabled,prob_graph_gain,ari,nmi,acc,q_total
Bach,42,safe_rdg_calibrated_logistic_explore,rdg_always_on,True,0.6975055485846103,0.7654876450693918,0.7540401673195559,0.7955486542443064,0.6694723939891316
Bach,3047,safe_rdg_calibrated_logistic_explore,rdg_always_on,True,0.6973916686057297,0.7639873804058779,0.7521575757862685,0.7945997239475501,0.669980113162676
Bach,3407,safe_rdg_calibrated_logistic_explore,rdg_always_on,True,0.6964875310283679,0.8035450000845705,0.7762515685587933,0.8344979296066253,0.6682001689411146
Baron,42,safe_rdg_calibrated_logistic_explore,rdg_always_on,True,0.75565003504169,0.62410629510805,0.7211628751457325,0.7287898237834053,0.6957839329478427
Baron,3047,safe_rdg_calibrated_logistic_explore,rdg_always_on,True,0.7563650165592343,0.7024829910146035,0.7357810413657385,0.7567977593651535,0.6973995961712136
Baron,3407,safe_rdg_calibrated_logistic_explore,rdg_always_on,True,0.7565178076839371,0.6129429007516166,0.7162060853522692,0.7228381374722838,0.6991913732298318
Guo,42,safe_rdg_calibrated_logistic_explore,rdg_always_on,True,0.7127021593325704,0.7610108301611663,0.7890339417092235,0.7996918335901386,0.7052634123430593
Guo,3047,safe_rdg_calibrated_logistic_explore,rdg_always_on,True,0.7128756015332953,0.7552499156940935,0.7869920798724989,0.7975346687211095,0.7060002920092563
Guo,3407,safe_rdg_calibrated_logistic_explore,rdg_always_on,True,0.7128888377977383,0.7648584185752533,0.7969270482480549,0.8046224961479199,0.7058801344924008
Limb_Muscle,42,safe_rdg_calibrated_logistic_explore,rdg_always_on,True,0.7009283815153233,0.7405171494539577,0.8191764645784329,0.9073931951905858,0.7480758399043035
Limb_Muscle,3047,safe_rdg_calibrated_logistic_explore,rdg_always_on,True,0.7011005730033875,0.9178236736167543,0.9139755268194685,0.9626502941928882,0.7507644099663849
Limb_Muscle,3407,safe_rdg_calibrated_logistic_explore,rdg_always_on,True,0.701504383352741,0.8316440336294294,0.8840377522373788,0.9068815553850089,0.7508270163641906
Macosko,42,safe_rdg_calibrated_logistic_explore,rdg_always_on,True,0.6941805776476796,0.5410617069359551,0.6089654033704823,0.809877700410641,0.6813569475112993
Macosko,3047,safe_rdg_calibrated_logistic_explore,rdg_always_on,True,0.6944410373330239,0.8348730318156479,0.7583449193555059,0.9272451347973576,0.6782219912645767
Macosko,3407,safe_rdg_calibrated_logistic_explore,rdg_always_on,True,0.6921921382444556,0.7853079938406712,0.7248158403038841,0.9040126763078021,0.6668020926756485
