variant,n_runs,n_datasets,ari_mean,ari_median,nmi_mean,acc_mean,rank_ari_mean,rank_ari_median,wins_vs_pca,ties_vs_pca,losses_vs_pca,delta_ari_vs_pca_mean,regret_vs_pca_mean,oracle_gap_mean,negative_transfer_rate,graph_activation_rate,enabled_graph_mean_gain
rdg_gene_only,45,15,0.6963185891869392,0.7336362018999384,0.7491639475852414,0.7778891203763992,2.588888888888889,2.0,36,0,9,0.1867496151200567,0.02032591121371003,0.040113724452447694,0.2,1.0,0.1867496151200567
safe_rdg_calibrated_threshold,45,15,0.6638818737701233,0.6891986531070012,0.7257960171522992,0.7673232561267496,4.0777777777777775,4.0,23,20,2,0.15431289970324075,0.004375981480028736,0.07255043986926363,0.044444444444444446,0.5555555555555556,0.2777632194658333
safe_rdg_calibrated_logistic_explore,45,15,0.6505826179053923,0.6891986531070012,0.709898407489682,0.7672987438561322,4.166666666666667,4.0,32,0,13,0.1410136438385097,0.04792641907182635,0.08584969573399467,0.28888888888888886,1.0,0.1410136438385097
rdg_always_on,45,15,0.6505826179053922,0.6891986531070012,0.709898407489682,0.7672987438561322,4.022222222222222,4.0,32,0,13,0.1410136438385097,0.04792641907182635,0.08584969573399467,0.28888888888888886,1.0,0.1410136438385097
rdg_concat_kmeans,45,15,0.6025589006786055,0.6240604405988117,0.6985398683603531,0.7226013924947077,5.4,6.0,28,0,17,0.09298992661172306,0.039043939907421214,0.1338734129607813,0.37777777777777777,0.0,
safe_rdg_heuristic,45,15,0.6014241208592891,0.6897696279753678,0.6681982922547814,0.7589595122993704,4.155555555555556,4.0,33,0,12,0.0918551467924067,0.08551782310703532,0.1350081927800977,0.26666666666666666,1.0,0.0918551467924067
pca_kmeans,45,15,0.5095689740668824,0.5624581650262663,0.5882010753921915,0.6794632211923223,6.566666666666666,6.5,0,45,0,0.0,0.0,0.22686333957250437,0.0,0.0,
neg_random_cell_graph,45,15,0.3141221702090184,0.30372050748114354,0.38594938343481283,0.5749404867022757,9.155555555555555,10.0,13,0,32,-0.1954468038578641,0.2658258822573958,0.4223101434303684,0.7111111111111111,1.0,-0.1954468038578641
rdg_cell_only,45,15,0.30051758302189796,0.3944280628975552,0.3981655930683219,0.5906126348452762,9.044444444444444,9.0,13,0,32,-0.20905139104498455,0.2780525021426751,0.4359147306174889,0.7111111111111111,1.0,-0.20905139104498455
pca_spectral_kmeans,45,15,0.3003116153460147,0.2862805128473704,0.40729478433559535,0.5903586454121834,8.8,9.0,15,0,30,-0.20925735872086781,0.2688111844391728,0.43612069829337213,0.6666666666666666,0.0,
neg_degree_shuffle_graph,45,15,0.22478911396562393,0.106822834735947,0.30378615948611726,0.5460334275965428,9.488888888888889,9.0,12,0,33,-0.2847798601012586,0.3397272387473653,0.511643199673763,0.7333333333333333,1.0,-0.2847798601012586
neg_shuffled_gene_cell_graph,45,15,0.11811162279849474,0.10425441892577547,0.1483148755205242,0.3882166806728775,10.533333333333333,11.0,4,0,41,-0.3914573512683879,0.4013399017648049,0.6183206908408923,0.9111111111111111,1.0,-0.3914573512683879
